iso3c,rcid,year,issue_domain,brazil,post_2009,human_rights_binary,brazil_hr,brazil_post_2009,brazil_post_hr,distance_china_minus_usa,agreement_china_minus_usa,observation_weight
ARE,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ARG,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
AUT,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
AZE,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BGD,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BGR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BHR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BLR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BRA,4521,2005,Non-human rights,1,0,0,0,0,0,-2,1,1
BRB,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BWA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CAN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
COL,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CPV,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CRI,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CYP,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CZE,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DEU,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DNK,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DOM,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DZA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ECU,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
EGY,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ESP,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
EST,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
FIN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
FRA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GAB,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GBR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GHA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GIN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GRC,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GTM,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GUY,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
HRV,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
HUN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
IND,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
IRL,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ISL,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ISR,4521,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
ITA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
JOR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
KWT,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LBN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LBY,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LKA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LTU,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LVA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MAR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MDA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MDG,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MDV,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MEX,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MWI,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NAM,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NGA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NIC,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NLD,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NOR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PAK,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PAN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PRT,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PRY,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
QAT,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ROU,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
RWA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SEN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SGP,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SVK,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SVN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SWE,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TTO,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TUN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TUR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
UGA,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
UKR,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
VEN,4521,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ALB,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
ARE,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
ARG,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
AUT,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
AZE,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
BGD,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
BGR,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BHR,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
BLR,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BOL,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
BRA,4522,2005,Non-human rights,1,0,0,0,0,0,-2,1,1
BRB,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
CAN,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CIV,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
COL,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
COM,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
CPV,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
CRI,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
CYP,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CZE,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DEU,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
DNK,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DOM,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
DZA,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
ECU,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
EGY,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
ESP,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
EST,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
FIN,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
FRA,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GAB,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GBR,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GEO,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
GTM,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
GUY,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
HRV,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
HTI,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
HUN,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
IND,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
IRL,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
ISL,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ISR,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
ITA,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
JAM,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
JOR,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
KEN,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
KWT,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
LBN,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
LKA,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
LTU,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LVA,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MAR,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
MDA,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
MDG,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
MDV,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
MEX,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
MUS,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
NAM,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
NIC,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
NLD,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NOR,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PAK,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
PAN,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
POL,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
PRT,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
PRY,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
QAT,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
ROU,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
RWA,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
SGP,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SLV,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
SUR,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
SVK,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
SVN,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
SWE,4522,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TTO,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
TUN,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
TUR,4522,2005,Non-human rights,0,0,0,0,0,0,0,0,1
UGA,4522,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
