year,issue_domain,n_obs,n_countries,n_resolutions
2005,Non-human rights,5751,95,66
2005,Human rights,1792,94,20
2006,Non-human rights,5979,95,66
2006,Human rights,2476,95,27
2007,Non-human rights,5468,95,61
2007,Human rights,2263,95,25
2008,Non-human rights,5265,95,59
2008,Human rights,2189,95,24
2009,Non-human rights,3804,95,42
2009,Human rights,2026,95,22
2010,Human rights,2002,94,22
2010,Non-human rights,3894,95,43
2011,Human rights,2191,95,24
2011,Non-human rights,3681,95,41
2012,Non-human rights,4660,95,51
2012,Human rights,1749,95,19
