source,metric,metric_label,iso3c,country_name,year,partner_rank,partner_iso3,partner_name,value_musd
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2005,1,USA,United States,406.58948699999996
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2005,2,IND,India,164.290796
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2006,1,USA,United States,302.8845649999999
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2006,2,IND,India,136.307302
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2007,1,USA,United States,386.424404
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2007,2,IND,India,239.29879300000002
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2008,1,USA,United States,408.38635700000003
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2008,2,IND,India,349.063579
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2009,1,NGA,Nigeria,1011.6958350000001
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2009,2,USA,United States,561.388731
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2010,1,USA,United States,535.9862999999999
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2010,2,GBR,United Kingdom,496.7679549999999
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2011,1,GBR,United Kingdom,537.3732910000001
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2011,2,IND,India,414.90177100000005
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2012,1,USA,United States,468.13136699999995
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2012,2,ARE,United Arab Emirates,466.51578700000005
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2005,1,USA,United States,9757.550668999998
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2005,2,CHN,China,6788.219414
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2006,1,USA,United States,13169.482933999996
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2006,2,CHN,China,11219.036345999997
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2007,1,USA,United States,14001.237782
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2007,2,CHN,China,13297.965161
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2008,1,CHN,China,22912.672251999993
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2008,2,USA,United States,21097.297255999998
