source_bpm5,metric,metric_label,iso3c,country_name,year,top1_partner_iso3_bpm5,top1_partner_name_bpm5,top1_value_musd_bpm5,top2_partner_iso3_bpm5,top2_partner_name_bpm5,top2_value_musd_bpm5,top1_top2_margin_musd_bpm5,top1_top2_margin_share_bpm5,source_bpm6,top1_partner_iso3_bpm6,top1_partner_name_bpm6,top1_value_musd_bpm6,top2_partner_iso3_bpm6,top2_partner_name_bpm6,top2_value_musd_bpm6,top1_top2_margin_musd_bpm6,top1_top2_margin_share_bpm6,present_bpm5,present_bpm6,comparison_sample,both_sources_present,top1_same,top2_ordered_same,top2_unordered_same,china_top1_bpm5,china_top1_bpm6,china_top1_status_same,china_in_top2_bpm5,china_in_top2_bpm6,china_in_top2_status_same,china_in_top2_any_source,china_top1_any_source,top1_disagreement_involves_china,top2_disagreement_involves_china,min_top1_top2_margin_share,close_top1_top2_case
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2005,USA,United States,406.58948699999996,IND,India,164.290796,242.29869099999996,0.5959295524037983,BPM6,USA,United States,745.835219,GBR,United Kingdom,528.860741,216.9744780000001,0.290914765718512,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.290914765718512,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2006,USA,United States,302.8845649999999,IND,India,136.307302,166.5772629999999,0.5499694677409526,BPM6,USA,United States,1015.8518110000001,GBR,United Kingdom,569.2023220000001,446.649489,0.4396797684106309,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.4396797684106309,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2007,USA,United States,386.424404,IND,India,239.29879300000002,147.12561099999996,0.38073581657125355,BPM6,USA,United States,1156.7868660000001,GBR,United Kingdom,642.801712,513.9851540000002,0.44432139498374984,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.38073581657125355,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2008,USA,United States,408.38635700000003,IND,India,349.063579,59.32277800000003,0.1452614098957278,BPM6,USA,United States,1158.4149919999998,GBR,United Kingdom,594.8058219999999,563.6091699999998,0.4865347685348326,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.1452614098957278,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2011,GBR,United Kingdom,537.3732910000001,IND,India,414.90177100000005,122.47152000000006,0.22790771713289343,BPM6,USA,United States,1070.3463709999996,GBR,United Kingdom,570.655792,499.6905789999996,0.46684941672960534,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.22790771713289343,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2012,USA,United States,468.13136699999995,ARE,United Arab Emirates,466.51578700000005,1.615579999999909,0.0034511252906492575,BPM6,USA,United States,1013.211761,GBR,United Kingdom,411.9403789999999,601.2713820000001,0.5934311119785749,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0034511252906492575,TRUE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2006,ITA,Italy,649.974111,DEU,Germany,83.72586600000001,566.248245,0.8711858448159022,BPM6,ITA,Italy,933.64438500000006,GRC,Greece,198.70179600000003,734.942589,0.7871761463011422,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7871761463011422,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2010,ITA,Italy,1054.585768,CHE,Switzerland,269.231986,785.3537819999999,0.7447035659218189,BPM6,ITA,Italy,1251.970711,GRC,Greece,311.078164,940.8925469999999,0.7515292001108163,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7447035659218189,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2011,ITA,Italy,1180.2148729999997,GBR,United Kingdom,277.12431799999996,903.0905549999998,0.7651916406581329,BPM6,ITA,Italy,1444.7926919999995,DEU,Germany,289.94822600000003,1154.8444659999996,0.7993149968120131,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7651916406581329,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2012,ITA,Italy,1264.079683,ESP,Spain,291.707774,972.371909,0.7692330808547613,BPM6,ITA,Italy,1444.282563,DEU,Germany,292.48985700000003,1151.792706,0.797484325787017,TRUE,TRUE,common_bpm5_bpm6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.7692330808547613,FALSE
