iso3c,estimate,rmspe_pre,status,error
ALB,-0.12177656332860598,0.1377561596253306,estimated,
ARE,0.08983149532727912,0.09315880909827594,estimated,
ARG,-0.21696679537484317,0.04798303734661964,estimated,
AUT,-0.08393209317886577,0.05510062581637457,estimated,
AZE,-0.14093615017971897,0.07669169287607189,estimated,
BGD,0.04410596643310554,0.10096326003043997,estimated,
BGR,-0.0070173672551164645,0.05247901492144794,estimated,
BHR,-0.09736817287738823,0.11986685581573832,estimated,
BLR,0.087447277102057,0.17634783175519764,estimated,
BOL,0.3589627422555607,0.06349425838649342,estimated,
BRA,-0.27277140758306007,0.05777659740154044,estimated,
BRB,0.13452746580932606,0.06181060715157299,estimated,
BTN,-0.03485775271561073,0.09082910377531933,estimated,
BWA,-0.005430063854967805,0.07076880967207165,estimated,
CAN,0.25691970666692876,0.09128001504137405,estimated,
CIV,-0.012761821142895667,0.11582393550446855,estimated,
COL,0.1353221844529496,0.08778980777500257,estimated,
COM,-0.02396764119901606,0.07936299594151582,estimated,
CPV,-0.01815031351442014,0.07888784823127622,estimated,
CRI,-0.07470693838469772,0.09119780155980908,estimated,
CYP,-0.05395005507366122,0.06630017794385105,estimated,
CZE,0.049967796987603244,0.0448879530716647,estimated,
DEU,0.1151313925456419,0.08384050242420146,estimated,
DNK,-0.014703873347820353,0.04304281716761241,estimated,
DOM,-0.09306687555342749,0.14317174045745867,estimated,
DZA,-0.05948055685893078,0.15715929898076125,estimated,
ECU,0.20769816580400277,0.06568791647861452,estimated,
EGY,-0.11517728229086052,0.19873403634230044,estimated,
ESP,-0.024815358363855605,0.03859686537007523,estimated,
EST,0.0318293585034504,0.03378200614351373,estimated,
FIN,-0.03220472712354618,0.052903199844965984,estimated,
FJI,-0.16549330601958837,0.17484963271760975,estimated,
FRA,-0.11236743179542934,0.06112865979210555,estimated,
GAB,0.20612310721219151,0.059155459238126276,estimated,
GBR,-0.01546957489756982,0.07082720835402861,estimated,
GEO,0.08769621223793285,0.11559146855233633,estimated,
GHA,-0.05956050903272351,0.0888293573362009,estimated,
GIN,-0.015741438798464794,0.07139291730238684,estimated,
GRC,-0.31961833156102565,0.03973985415336561,estimated,
GTM,-0.09636097857143659,0.06185335094780857,estimated,
GUY,-0.0106895783954651,0.042481026074966566,estimated,
HRV,-0.0043911577581997804,0.05541412813161009,estimated,
HTI,-0.11249137461222797,0.23548888581241195,estimated,
HUN,-0.012834174966658368,0.047784675866651236,estimated,
IND,-0.014805919152349703,0.16589842644924926,estimated,
IRL,-0.07187201547317139,0.04271479772584586,estimated,
ISL,-0.09058742170673606,0.05594033987071728,estimated,
ISR,0.05453117554509054,0.061834330342191844,estimated,
ITA,0.007377486630681071,0.057691775199222486,estimated,
JAM,0.07574699672005324,0.05535555694084682,estimated,
JOR,0.017189211022581644,0.13821914545498776,estimated,
KEN,-0.033161954859901206,0.09352694164145628,estimated,
KWT,-0.005909065241915571,0.10754000728408562,estimated,
LBN,0.16345677211625587,0.1947083290089094,estimated,
LBY,-0.5689782029554298,0.16685766890732956,estimated,
LKA,0.04297553468319329,0.08044742546574811,estimated,
LTU,0.04560591601593145,0.037358915081669046,estimated,
LVA,0.0012334241426192353,0.039650401882357904,estimated,
MAR,0.054954096936072235,0.07796086391820965,estimated,
MDA,-0.0014827843989935294,0.07546502708551053,estimated,
MDG,-0.017343912146824743,0.09228102618187302,estimated,
MDV,0.11488198996618204,0.045023337151518385,estimated,
MEX,-0.01383754370530275,0.09858344365403075,estimated,
MUS,-0.07533854974718027,0.047713558924781664,estimated,
MWI,0.09222640246018922,0.15056435192602605,estimated,
NAM,0.12118378018786514,0.05375153559485015,estimated,
NGA,-0.035846495547961,0.1620414303468946,estimated,
NIC,0.3498179867603623,0.1335558245034095,estimated,
NLD,0.007957965064085437,0.06475915956064114,estimated,
NOR,-0.020030669355049744,0.06374523565030185,estimated,
PAK,-0.04600188321810663,0.06543946688468887,estimated,
PAN,0.25794315141810414,0.06735295116890724,estimated,
PNG,0.06593586638491007,0.20046494921942123,estimated,
POL,0.010851260689024332,0.039837511295549743,estimated,
PRT,-0.06896990928659968,0.04073436192583142,estimated,
PRY,-0.017557923667573076,0.07232055733297521,estimated,
QAT,0.05621448722803818,0.1317820400868013,estimated,
ROU,-0.05058285672675399,0.03330493372820114,estimated,
RWA,0.11032136647362731,0.2175640845462571,estimated,
SEN,0.1020669367998062,0.10132548821469473,estimated,
SGP,-0.07485050456411724,0.07821577487641444,estimated,
SLV,-0.07060789420147329,0.08163601462498916,estimated,
SUR,0.04121471508272703,0.05123895218920426,estimated,
SVK,0.01633995822225848,0.03747832728050331,estimated,
SVN,-0.11439847832010942,0.024332552424717387,estimated,
SWE,-0.04950829080460538,0.043342638365994834,estimated,
SWZ,0.031721609940751225,0.11765476537850238,estimated,
TCD,0.05950349113555026,0.17039055196582423,estimated,
TGO,0.311257912818002,0.0803434168983811,estimated,
TTO,0.06097180371527105,0.052028946990336285,estimated,
TUN,0.08977417955174899,0.11882848417811878,estimated,
TUR,-0.05370598532375919,0.04518393512201296,estimated,
UGA,0.039586762848827936,0.16096480217974854,estimated,
UKR,-0.05739950420677283,0.1501064560889394,estimated,
USA,-0.21916826427006597,0.06614796214918715,estimated,
VEN,0.3131926408474126,0.1376671489126093,estimated,
