iso3c,estimate,rmspe_pre,status,error
ALB,-0.12496887149280789,0.13799385622903837,estimated,
ARE,0.07979106635713265,0.0935404768443451,estimated,
ARG,-0.23511835907208625,0.05012075112412035,estimated,
AUT,-0.08088551501669654,0.054462128800727747,estimated,
AZE,-0.1859127073805623,0.08420624383525355,estimated,
BGD,0.029215824855921446,0.10068601864941658,estimated,
BGR,-0.004793280776345549,0.052048725038977194,estimated,
BHR,-0.06156592573488051,0.12274305747975285,estimated,
BLR,0.07943669766485968,0.1797471942057144,estimated,
BOL,0.3216288790444768,0.06940014256951214,estimated,
BRA,-0.28476634058333045,0.05895742909122221,estimated,
BRB,0.1345156834016506,0.0614599294128431,estimated,
BTN,-0.010509805726837651,0.09209013832746782,estimated,
BWA,0.059967551601587746,0.09579896630885762,estimated,
CAN,0.27031302506776156,0.10202076294290437,estimated,
CIV,-0.038436755681006136,0.11814557312504574,estimated,
COL,0.14531037084966525,0.089917105840199,estimated,
COM,-0.036658331814312876,0.07956567503930063,estimated,
CPV,0.029419565773443505,0.08821437560800557,estimated,
CRI,-0.08037263597035524,0.09182015817829713,estimated,
CYP,-0.040305505550475997,0.06690341395472116,estimated,
CZE,0.06592068027320365,0.045470333380674126,estimated,
DEU,0.1212495723155946,0.08647848463510027,estimated,
DNK,-0.015045142489567124,0.04280874897424894,estimated,
DOM,-0.08469165552873927,0.14425782794835287,estimated,
DZA,-0.06564984624138888,0.1614541707336079,estimated,
ECU,0.17666525130582095,0.07020884173445384,estimated,
EGY,-0.09649968053176705,0.20098298512424173,estimated,
ESP,-0.02112853845836947,0.03812408548975881,estimated,
EST,0.03925705688479723,0.0331456030117069,estimated,
FIN,-0.027385101962048405,0.05285151628388577,estimated,
FJI,-0.08664357227028237,0.18218324314360332,estimated,
FRA,-0.09855570422091996,0.06139372723181177,estimated,
GAB,0.19565973406574622,0.0593961251128371,estimated,
GBR,-0.00665939860790679,0.07087510061907458,estimated,
GEO,0.07197031139498547,0.11571669942580023,estimated,
GHA,-0.057162046242122094,0.088963184247566,estimated,
GIN,5.312094137504448e-4,0.07861716125810789,estimated,
GRC,-0.31255513691330694,0.039746384041656084,estimated,
GTM,-0.11280305015854242,0.06377763249145477,estimated,
GUY,-0.014108418485666104,0.0427467244418851,estimated,
HRV,0.007007950180170269,0.0568184596180062,estimated,
HTI,-0.1202846544948337,0.2355295131250956,estimated,
HUN,-0.006757097585560972,0.04744714028548557,estimated,
IND,-0.055010286751700034,0.16771891077698967,estimated,
IRL,-0.05776124161954088,0.04286764482475977,estimated,
ISL,-0.11412419951708032,0.060096608502661956,estimated,
ISR,0.06485538098814404,0.0624369317904096,estimated,
ITA,0.010511982426883565,0.05743448007356141,estimated,
JAM,0.08364644345267241,0.05527458625615993,estimated,
JOR,0.0026964643261649305,0.1421023698813509,estimated,
KEN,-0.05118837215811641,0.09424438448914023,estimated,
KWT,0.0013782084901266,0.1164824136863648,estimated,
LBN,0.16328209376596658,0.1948944330365061,estimated,
LBY,-0.5683315314539736,0.16746182238814214,estimated,
LKA,0.09387105964440218,0.09008756671927004,estimated,
LTU,0.05367126497596534,0.036968076902235,estimated,
LVA,0.010013981446923335,0.03926540774039131,estimated,
MAR,0.02738915277446053,0.08080979910209887,estimated,
MDA,0.008493760995210193,0.07600586505860941,estimated,
MDG,-0.0011837875811006886,0.09315942483824025,estimated,
MDV,0.12945465148691737,0.04719100426770256,estimated,
MEX,0.0037344519318196143,0.1017332745069083,estimated,
MUS,-0.06166605786465117,0.04860398335423959,estimated,
MWI,0.010907755319065513,0.15525937860690808,estimated,
NAM,0.13241391797728796,0.05491988450450451,estimated,
NGA,-0.04308187978321827,0.1628054327991125,estimated,
NIC,0.34025655573834795,0.13376604847317677,estimated,
NLD,0.010705016329135649,0.0644569676230689,estimated,
NOR,-0.05729137359776719,0.07131792777346446,estimated,
PAK,-0.03718298800581433,0.06607551645223242,estimated,
PAN,0.28111621599780257,0.07840524136207003,estimated,
PNG,0.05001181592360613,0.2009576264846545,estimated,
POL,0.019355759573231688,0.039565709303465604,estimated,
PRT,-0.05972604335106852,0.040111274410937404,estimated,
PRY,-0.052321511627736336,0.07770128516151696,estimated,
QAT,0.06030807346472019,0.13360772246165817,estimated,
ROU,-0.04042559193448563,0.03357261377895725,estimated,
RWA,0.11407253046643391,0.2174468108127064,estimated,
SEN,0.11831774867976437,0.10207403271425064,estimated,
SGP,-0.09034441182906643,0.07940684358534426,estimated,
SLV,-0.04325576005049046,0.08754321883484834,estimated,
SUR,0.048326297983400816,0.05168687242248166,estimated,
SVK,0.030647971604402056,0.037447697417196994,estimated,
SVN,-0.10532185300004909,0.023728185867384243,estimated,
SWE,-0.038857492077772615,0.04269189864576082,estimated,
SWZ,0.02731051272598012,0.11845338270212896,estimated,
TCD,0.00257267841288794,0.17167200755765413,estimated,
TGO,0.3092435778908525,0.08099014329653194,estimated,
TTO,0.044737930603771126,0.05375938948792842,estimated,
TUN,0.09209711330846815,0.11923795648239398,estimated,
TUR,-0.05378618562991804,0.045683764471668234,estimated,
UGA,0.021452098331303526,0.16423051604547936,estimated,
UKR,-0.011777122776390848,0.16350131853702912,estimated,
USA,-0.2076928196152262,0.06686689623782766,estimated,
VEN,0.3440652824124508,0.15666274218868037,estimated,
