item,value
Unit of analysis,Country-year; Brazil is the only treated unit
Outcome,Absolute UNGA ideal-point distance to China
Treatment onset,"2009, when China becomes Brazil's largest export destination"
Estimand,Average post-2009 Brazil-minus-synthetic gap under each covariate specification
Main analysis window,1997-2015
Predetermined composition window,2004-2008
Primary commodity measure,"Mean annual Agriculture plus Mining and Energy share of goods exports, 2004-2008"
Export-flow scope,External goods exports only; exporter-importer domestic flows are excluded
Commodity robustness window,2008-2009; includes the first treated year and is not the main total-effect specification
Price source,"World Bank Commodity Price Data (Pink Sheet), annual nominal indices"
Price exposure,2007-referenced global price changes weighted by fixed 2004-2008 external goods-export shares
Inference,synthdid placebo standard errors with 1000 placebo replications; placebo-in-space rank p-values
Preferred specification rule,SDiD without time-varying/post-treatment covariates; selected by total-effect timing and identification rather than p-value
