year,energy_index,agriculture_index,metals_minerals_index,energy_log_change_2007,agriculture_log_change_2007,metals_minerals_log_change_2007
1997,26.9,65.9,41.3,-1.2554147865436618,-0.2100075750453032,-0.9621942246781756
1998,19.1,57.3,33.8,-1.5978527380988707,-0.34984539283307103,-1.1625959221561895
1999,24.4,50.6,33.5,-1.352957940852299,-0.474194440260345,-1.1715112858141417
2000,39.2,48.9,38.2,-0.8788643263550382,-0.5083686200729386,-1.0402212090326328
2001,35,47.1,34.4,-0.9921930116620414,-0.5458730155313928,-1.14500016026581
2002,34,50.6,33.1,-1.0211805485352936,-0.474194440260345,-1.1835234422621455
2003,41.4,54.9,36.8,-0.8242601923201864,-0.39263266803828,-1.0775588794702773
2004,53.4,60.5,49.3,-0.5697303271853059,-0.2955026515169691,-0.7851326435965181
2005,75.4,62,60.1,-0.22473379813754463,-0.27101163150867336,-0.5870468831040005
2006,85.4,68.4,91.9,-0.10019497235693078,-0.17277319192525994,-0.16235569528352112
2007,94.4,81.3,108.1,0,0,0
2008,129,102.8,102.2,0.3122713312102171,0.23463933646729981,-0.056125046875558415
2009,79.4,89.5,68.4,-0.17304270489836499,0.09609260872704475,-0.4576839000166576
2010,100,100,100,0.057629112836636215,0.20702416943432644,-0.07788653865707124
2011,135.2,121.5,113.5,0.35921409045740854,0.4017682462268382,0.04874611227629477
2012,134.1,114.3,96.1,0.3510447171361777,0.3406805542470001,-0.11766740866891583
2013,131.7,105.7,90.8,0.33298553559778027,0.26245887632242715,-0.17439743903791502
2014,120.4,101.9,84.8,0.24327845972326562,0.22584592367491432,-0.24276118184730525
2015,66.1,87.9,66.9,-0.3563723262938146,0.07805378813736641,-0.47985775751097975
2016,56,87.4,63,-0.5221893824163059,0.07234926610772495,-0.5399219982536299
