specification,weight_rank,iso3c,country_name,unit_weight
current_baseline,1,MLT,Malta,0.030572090398788644
current_baseline,2,GEO,Georgia,0.029091920501683716
current_baseline,3,PRY,Paraguay,0.027248773297055738
current_baseline,4,TCD,Chad,0.026759221250177045
current_baseline,5,GTM,Guatemala,0.026217342003487576
current_baseline,6,COL,Colombia,0.02500536728200791
current_baseline,7,IND,India,0.021665520123917162
current_baseline,8,DOM,Dominican Republic,0.021503546535691864
current_baseline,9,BOL,Bolivia,0.021464315463903098
current_baseline,10,TUR,Turkey,0.021439403693077043
current_baseline,11,FJI,Fiji,0.021418186016485194
current_baseline,12,PNG,Papua New Guinea,0.020733312349723976
current_baseline,13,ALB,Albania,0.019738380782296665
current_baseline,14,MWI,Malawi,0.01970959257535825
current_baseline,15,AZE,Azerbaijan,0.01955284395594872
current_baseline,16,DEU,Germany,0.018983682588274424
current_baseline,17,HRV,Croatia,0.017633507776679887
current_baseline,18,CYP,Cyprus,0.01758927898471979
current_baseline,19,CRI,Costa Rica,0.01732500162752721
current_baseline,20,KEN,Kenya,0.015867116854296023
current_baseline,21,ARG,Argentina,0.015507269323146203
current_baseline,22,HTI,Haiti,0.015313051923092949
current_baseline,23,SUR,Suriname,0.014817233623292963
current_baseline,24,ISL,Iceland,0.014565588420439913
current_baseline,25,TTO,Trinidad & Tobago,0.013870652104948897
current_baseline,26,NOR,Norway,0.013559089675372338
current_baseline,27,BRB,Barbados,0.013415499854307287
current_baseline,28,HUN,Hungary,0.013345665223296827
current_baseline,29,SLV,El Salvador,0.013189093971965675
current_baseline,30,NIC,Nicaragua,0.012954367320839148
current_baseline,31,PAK,Pakistan,0.012783254135790801
current_baseline,32,POL,Poland,0.012747132819867519
current_baseline,33,DNK,Denmark,0.012745620177243058
current_baseline,34,TUN,Tunisia,0.011825196750051063
current_baseline,35,JAM,Jamaica,0.01177075444476801
current_baseline,36,MDV,Maldives,0.011770430292228766
current_baseline,37,LTU,Lithuania,0.011769800177088303
current_baseline,38,MUS,Mauritius,0.0117365514240067
current_baseline,39,BTN,Bhutan,0.011507605385656082
current_baseline,40,EST,Estonia,0.011328245924226838
current_baseline,41,CZE,Czechia,0.011255092481297512
current_baseline,42,ROU,Romania,0.011158346594654901
current_baseline,43,LVA,Latvia,0.011112173224000167
current_baseline,44,NAM,Namibia,0.010872123572813995
current_baseline,45,LBN,Lebanon,0.010644678286592811
current_baseline,46,ISR,Israel,0.010613461434511607
current_baseline,47,SVN,Slovenia,0.01051689290427033
current_baseline,48,GUY,Guyana,0.010368562049712022
current_baseline,49,DZA,Algeria,0.010327004154633264
current_baseline,50,UGA,Uganda,0.010279040451098691
current_baseline,51,BGR,Bulgaria,0.010244733095998514
current_baseline,52,TGO,Togo,0.010195412420580854
current_baseline,53,SVK,Slovakia,0.009908364421093255
current_baseline,54,PAN,Panama,0.009868632390038394
current_baseline,55,ESP,Spain,0.009438631120101723
current_baseline,56,COM,Comoros,0.008718747834588966
current_baseline,57,JOR,Jordan,0.008088751666262849
current_baseline,58,GRC,Greece,0.0080410157654238
current_baseline,59,MDA,Moldova,0.007935517381384368
current_baseline,60,SWE,Sweden,0.007743097184668164
current_baseline,61,AUT,Austria,0.007474776303075666
current_baseline,62,SEN,Senegal,0.007410211367169325
current_baseline,63,QAT,Qatar,0.007396063963444001
current_baseline,64,MAR,Morocco,0.007152278280315116
current_baseline,65,NLD,Netherlands,0.007144788892825374
current_baseline,66,FIN,Finland,0.00704250592412738
current_baseline,67,PRT,Portugal,0.0065622752286031245
current_baseline,68,CAN,Canada,0.006435926586913832
current_baseline,69,ITA,Italy,0.005176447178919658
current_baseline,70,USA,United States,0.004939634708676528
current_baseline,71,CPV,Cape Verde,0.004439504551401348
current_baseline,72,GBR,United Kingdom,0.004428330168483348
current_baseline,73,LKA,Sri Lanka,0.004185425501474855
current_baseline,74,UKR,Ukraine,0.0037803075768135194
current_baseline,75,MEX,Mexico,0.0031011787971673265
current_baseline,76,EGY,Egypt,0.0023812084340951627
current_baseline,77,IRL,Ireland,0.0018534756747422257
current_baseline,78,GHA,Ghana,0.0017643274664732559
current_baseline,79,GIN,Guinea,0.0010702754901089385
current_baseline,80,CIV,Côte d’Ivoire,9.91500926285626e-4
current_baseline,81,BWA,Botswana,7.968762681961246e-4
current_baseline,82,LBY,Libya,6.557122426836097e-4
current_baseline,83,ARE,United Arab Emirates,4.95860230888396e-4
current_baseline,84,BGD,Bangladesh,4.95860230888396e-4
current_baseline,85,BHR,Bahrain,4.95860230888396e-4
current_baseline,86,BLR,Belarus,4.95860230888396e-4
current_baseline,87,ECU,Ecuador,4.95860230888396e-4
current_baseline,88,FRA,France,4.95860230888396e-4
current_baseline,89,GAB,Gabon,4.95860230888396e-4
current_baseline,90,KWT,Kuwait,4.95860230888396e-4
current_baseline,91,MDG,Madagascar,4.95860230888396e-4
current_baseline,92,NGA,Nigeria,4.95860230888396e-4
current_baseline,93,RWA,Rwanda,4.95860230888396e-4
current_baseline,94,SWZ,Eswatini,4.95860230888396e-4
current_baseline,95,VEN,Venezuela,4.95860230888396e-4
all_current_covariates_frozen,1,GEO,Georgia,0.030501308836623577
all_current_covariates_frozen,2,MLT,Malta,0.030478276175817828
