metric,metric_label,rule,rule_label,sample_variant,excluded_iso3c,status,error_message,nboots,att,se,ci_lo,ci_hi,p,r_cv,elapsed_seconds,n_obs,n_countries,n_treated,n_control,n_treated_country_years,panel_min,panel_max,pre_treated_mean,outcome_sd,att_rel_pct,att_sd_units,n_entries,n_exits,n_left_censored,direction
pipeline_original_itpde_no_sector_filter,Pipeline original sem filtro setorial (diagnóstico),paper_targets_absorbing_covariate_sample,Amostra absorvente do targets,targets_existing_10000_boot,,ok,,10000,-0.10358249683741061,0.03570802087079932,-0.17357021774417727,-0.033594775930643944,0.0037218907696368094,1,,2883,93,13,80,133,1990,2020,0.6487326685662963,0.8364779415691841,15.966900058590952,0.12383171353340873,13,0,0,closer_to_china
pipeline_original_itpde_no_sector_filter,Pipeline original sem filtro setorial (diagnóstico),paper_targets_absorbing_no_covariates,"Amostra absorvente do targets, sem covariáveis",targets_existing_10000_boot,,ok,,10000,-0.10021475693065109,0.04390515487030119,-0.18626886047644142,-0.014160653384860764,0.022458170749925066,2,,3465,105,14,91,161,1990,2022,0.6233195445611296,0.8108081659126821,16.077589384945547,0.12359860339818464,14,0,0,closer_to_china
goods_exports_rank,Bens: exportações,clean_risk_set,Clean risk set,full_sample,,ok,,500,-0.03397531535358436,0.030860875081118035,-0.09446263051257571,0.026511999805406986,0.27093203015785333,1,15.128000000000002,2471,155,45,110,311,2005,2020,0.5191968936943522,0.6789976487398757,-6.543820998587369,-0.05003745656061958,,,,closer_to_china
goods_exports_rank,Bens: exportações,left_censored_as_already_treated,Censurados à esquerda como já tratados (descritivo),full_sample,,ok,,500,-0.008656022350120295,0.030883105917216127,-0.0691869099478639,0.05187486524762332,0.7792600750114635,1,15.48,2629,165,55,110,439,2005,2020,0.5191968936943522,0.6680402910694375,-1.6671945566793085,-0.012957335756295827,,,,closer_to_china
goods_exports_rank,Bens: exportações,restricted_post_2005_cohort,Coorte pós-2005 observada,full_sample,,ok,,500,-0.03397531535358436,0.030860875081118035,-0.09446263051257571,0.026511999805406986,0.27093203015785333,1,14.878,2471,155,45,110,311,2005,2020,0.5191968936943522,0.6789976487398757,-6.543820998587369,-0.05003745656061958,,,,closer_to_china
goods_exports_rank,Bens: exportações,cutoff_not_top_through_2010,Restrição: não China #1 até 2010,full_sample,,ok,,500,-0.027564962653036987,0.03752715752895577,-0.10111819140979028,0.04598826610371631,0.4626235161899683,1,14.222000000000001,2183,137,27,110,114,2005,2020,0.5013965333508065,0.6923209576641157,-5.497637263030481,-0.039815294261841945,,,,closer_to_china
goods_services_exports_rank,Bens + serviços: exportações,clean_risk_set,Clean risk set,full_sample,,ok,,500,-0.017619880943415375,0.0294519424296058,-0.07534568810544275,0.04010592621861199,0.5496673258879117,1,14.832999999999998,2455,154,44,110,307,2005,2020,0.5057182720260586,0.6800150295290751,-3.4841297849146056,-0.02591101693093095,,,,closer_to_china
goods_services_exports_rank,Bens + serviços: exportações,left_censored_as_already_treated,Censurados à esquerda como já tratados (descritivo),full_sample,,ok,,500,0.006495722240289043,0.029995684529535244,-0.05229581943760003,0.06528726391817812,0.8285549821784707,1,15.097999999999999,2629,165,55,110,431,2005,2020,0.5057182720260586,0.6680402910694375,1.2844547250122558,0.0097235486049656,,,,farther_from_china
goods_services_exports_rank,Bens + serviços: exportações,restricted_post_2005_cohort,Coorte pós-2005 observada,full_sample,,ok,,500,-0.017619880943415375,0.0294519424296058,-0.07534568810544275,0.04010592621861199,0.5496673258879117,1,14.748000000000005,2455,154,44,110,307,2005,2020,0.5057182720260586,0.6800150295290751,-3.4841297849146056,-0.02591101693093095,,,,closer_to_china
goods_services_exports_rank,Bens + serviços: exportações,cutoff_not_top_through_2010,Restrição: não China #1 até 2010,full_sample,,ok,,500,-0.014703492386785342,0.03658205876450705,-0.08640432756521915,0.056997342791648475,0.6877342255829464,1,14.353000000000009,2183,137,27,110,110,2005,2020,0.4750253810116279,0.6926759874541795,-3.0953066877126347,-0.021227085467226448,,,,closer_to_china
goods_services_two_way_rank,Bens + serviços: two-way,clean_risk_set,Clean risk set,full_sample,,ok,,500,-0.016283335279567723,0.030886740949536286,-0.07682134754065884,0.0442546769815234,0.5980581830853857,1,19.36100000000002,2519,158,64,94,423,2005,2020,0.5038326696993988,0.6759080844008537,-3.2318934953707616,-0.0240910497379267,,,,closer_to_china
goods_services_two_way_rank,Bens + serviços: two-way,left_censored_as_already_treated,Censurados à esquerda como já tratados (descritivo),full_sample,,ok,,500,-0.005414362824689878,0.031192642352528617,-0.06655194183564597,0.05572321618626621,0.8621969629824577,1,20.468999999999994,2629,165,71,94,522,2005,2020,0.5038326696993988,0.6680402910694375,-1.0746351219979928,-0.008104844718306217,,,,closer_to_china
