metric_id,metric,formulation_label,metric_definition,iso3c,country_name,first_china_rank1_year,status,source_window,status_label,country_name_plot,year_label,country_label
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,AFG,Afghanistan,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,Afghanistan,Nunca,Afghanistan (AFG)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,AGO,Angola,2007,observed_entry,1990-2023 no painel bruto original,Entrada observada,Angola,2007,Angola (AGO)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,ALB,Albania,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,Albania,Nunca,Albania (ALB)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,AND,Andorra,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,Andorra,Nunca,Andorra (AND)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,ARE,United Arab Emirates,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,United Arab Emirates,Nunca,United Arab Emirates (ARE)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,ARG,Argentina,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,Argentina,Nunca,Argentina (ARG)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,ARM,Armenia,1993,observed_entry,1990-2023 no painel bruto original,Entrada observada,Armenia,1993,Armenia (ARM)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,ATG,Antigua & Barbuda,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,Antigua & Barbuda,Nunca,Antigua & Barbuda (ATG)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,AUS,Australia,2010,observed_entry,1990-2023 no painel bruto original,Entrada observada,Australia,2010,Australia (AUS)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,AUT,Austria,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,Austria,Nunca,Austria (AUT)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,AZE,Azerbaijan,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,Azerbaijan,Nunca,Azerbaijan (AZE)
M1,original_itpde_exports_no_sector_filter,"M1. Original do pipeline:
exportações ITPD-E
sem filtro setorial",Métrica original do pipeline: soma ITPD-E trade por país-parceiro-ano sem filtrar broad_sector; portanto não é estritamente goods-only.,BDI,Burundi,,never_observed,1990-2023 no painel bruto original,Nunca observado #1,Burundi,Nunca,Burundi (BDI)
