iso3c,country_name,first_china_rank1_year_ge2005_goods_exports_rank,first_china_rank1_year_ge2005_goods_services_exports_rank,first_china_rank1_year_ge2005_goods_services_two_way_rank,onset_status_goods_exports_rank,onset_status_goods_services_exports_rank,onset_status_goods_services_two_way_rank,first_china_rank1_year_ge2005_goods_two_way_supplemental,publicly_reported_onset,public_apparent_metric,public_sources,public_urls,public_evidence_paraphrase,public_minus_goods_exports,public_minus_goods_services_exports,public_minus_goods_services_two_way,public_minus_goods_two_way_supplemental,any_services_export_change,any_two_way_change,any_change_from_goods_exports
AFG,Afghanistan,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
AGO,Angola,2007,2007,2008,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
ALB,Albania,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
AND,Andorra,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
ARE,United Arab Emirates,,,2017,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
ARG,Argentina,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
ARM,Armenia,2015,2020,,observed_first_rank1_after_2005,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,,,,,,,,,,,TRUE,TRUE,TRUE
ATG,Antigua & Barbuda,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
AUS,Australia,2009,2009,2007,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,2007,2007,Two-way trade in goods and services,"Australian DFAT, Composition of Trade Australia 2007 media release",https://www.dfat.gov.au/news/media/Pages/australia-s-composition-of-trade-2007,"DFAT reported that China became Australia's largest two-way trading partner in 2007, with total goods-and-services trade above Japan and the United States.",-2,-2,0,0,FALSE,TRUE,TRUE
AUT,Austria,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
AZE,Azerbaijan,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BDI,Burundi,,,2017,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
BEL,Belgium,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BEN,Benin,2008,2005,2012,observed_first_rank1_after_2005,left_censored_china_rank1_in_2005,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,TRUE,TRUE
BFA,Burkina Faso,2005,2005,,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,TRUE,TRUE
BGD,Bangladesh,,,2010,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
BGR,Bulgaria,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BHR,Bahrain,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BHS,Bahamas,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BIH,Bosnia & Herzegovina,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BLR,Belarus,,,2022,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
BLZ,Belize,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BOL,Bolivia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BRA,Brazil,2009,2009,2017,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,2009,2009,"Two-way merchandise trade/current, apparently goods only","Agencia Brasil, 4 May 2009 | Brazilian Ministry of Foreign Affairs country page",https://memoria.ebc.com.br/agenciabrasil/noticia/2009-05-04/china-supera-estados-unidos-e-torna-se-maior-parceiro-comercial-do-brasil | https://www.gov.br/mre/en/subjects/bilateral-relations/all-countries/people-s-republic-of-china,"Agencia Brasil reported that China surpassed the United States as Brazil's largest commercial partner in 2009, defining the comparison as trade current, exports plus imports. | The MRE states that China has been Brazil's largest trading partner since 2009 and reports bilateral export and import values.",0,0,-8,0,FALSE,TRUE,TRUE
BRB,Barbados,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BRN,Brunei,,,2020,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
BTN,Bhutan,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
BWA,Botswana,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
CAF,Central African Republic,2013,2013,2020,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
CAN,Canada,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
CHE,Switzerland,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
CHL,Chile,2007,2008,2009,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,TRUE,TRUE
CIV,Côte d'Ivoire,,,2022,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
CMR,Cameroon,2012,2012,2012,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
COD,Congo - Kinshasa,2008,2008,2008,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
COG,Congo - Brazzaville,2005,2005,2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,,,,,,,,,,,FALSE,FALSE,FALSE
COL,Colombia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
COM,Comoros,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
CPV,Cape Verde,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
CRI,Costa Rica,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
CUB,Cuba,2005,2006,2006,left_censored_china_rank1_in_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,TRUE,TRUE
CYP,Cyprus,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
CZE,Czechia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
DEU,Germany,,,2021,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
DJI,Djibouti,,,2010,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
DMA,Dominica,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
DNK,Denmark,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
DOM,Dominican Republic,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
DZA,Algeria,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
ECU,Ecuador,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
EGY,Egypt,,,2015,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
ERI,Eritrea,2014,2014,2013,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
ESP,Spain,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
EST,Estonia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
ETH,Ethiopia,2009,2014,2007,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,TRUE,TRUE
FIN,Finland,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
FJI,Fiji,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
FRA,France,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
FSM,Micronesia (Federated States of),,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
GAB,Gabon,2017,2015,2017,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,FALSE,TRUE
GBR,United Kingdom,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
GEO,Georgia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
GHA,Ghana,2019,2019,2013,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
GIN,Guinea,2019,2019,2010,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
GMB,Gambia,2011,2012,2012,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,TRUE,TRUE
GNB,Guinea-Bissau,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
GNQ,Equatorial Guinea,2006,2006,2006,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,FALSE,FALSE
GRC,Greece,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
GRD,Grenada,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
GTM,Guatemala,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
GUY,Guyana,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
HND,Honduras,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
HRV,Croatia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
HTI,Haiti,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
HUN,Hungary,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
IDN,Indonesia,2013,2013,2011,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
IND,India,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
IRL,Ireland,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
IRN,Iran,2007,2007,2006,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
IRQ,Iraq,2014,2014,2013,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
ISL,Iceland,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
ISR,Israel,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
ITA,Italy,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
JAM,Jamaica,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
JOR,Jordan,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
JPN,Japan,2008,2009,2008,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,FALSE,TRUE
KAZ,Kazakhstan,2007,2007,2010,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
KEN,Kenya,,,2011,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
KGZ,Kyrgyzstan,,,2016,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
KHM,Cambodia,,,2014,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
KIR,Kiribati,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
KNA,St. Kitts & Nevis,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
KOR,South Korea,2005,2005,2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,left_censored_china_rank1_in_2005,,,,,,,,,,,FALSE,FALSE,FALSE
KWT,Kuwait,2018,2018,2017,observed_first_rank1_after_2005,observed_first_rank1_after_2005,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
LAO,Laos,2014,2014,,observed_first_rank1_after_2005,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,TRUE,TRUE
LBN,Lebanon,,,2022,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
LBR,Liberia,2012,,2019,observed_first_rank1_after_2005,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,TRUE,TRUE,TRUE
LBY,Libya,,,2019,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
LCA,St. Lucia,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
LKA,Sri Lanka,,,2020,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,observed_first_rank1_after_2005,,,,,,,,,,,FALSE,TRUE,TRUE
LSO,Lesotho,,,,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,never_china_rank1_in_observed_window,,,,,,,,,,,FALSE,FALSE,FALSE
