iso3c,country_name,original_in_sample,m2_full_in_sample,original_treated,m2_full_treated,first_treat_original,first_treat_m2_full,change_type
AUS,Australia,TRUE,TRUE,TRUE,TRUE,2010,2009,both_treated_first_treat_changed
CHL,Chile,TRUE,TRUE,TRUE,TRUE,2008,2007,both_treated_first_treat_changed
SAU,Saudi Arabia,TRUE,TRUE,TRUE,TRUE,2015,2013,both_treated_first_treat_changed
MLT,Malta,TRUE,FALSE,FALSE,FALSE,0,,drops_out_of_m2_full_sample
PAN,Panama,TRUE,FALSE,FALSE,FALSE,0,,drops_out_of_m2_full_sample
PNG,Papua New Guinea,TRUE,FALSE,FALSE,FALSE,0,,drops_out_of_m2_full_sample
JPN,Japan,FALSE,TRUE,FALSE,TRUE,,2008,enters_m2_full_sample
NZL,New Zealand,FALSE,TRUE,FALSE,TRUE,,2013,enters_m2_full_sample
PER,Peru,FALSE,TRUE,FALSE,TRUE,,2010,enters_m2_full_sample
SGP,Singapore,FALSE,TRUE,FALSE,FALSE,,0,enters_m2_full_sample
ALB,Albania,TRUE,TRUE,FALSE,FALSE,0,0,no_change
DZA,Algeria,TRUE,TRUE,FALSE,FALSE,0,0,no_change
AGO,Angola,TRUE,TRUE,TRUE,TRUE,2007,2007,no_change
ARG,Argentina,TRUE,TRUE,FALSE,FALSE,0,0,no_change
AUT,Austria,TRUE,TRUE,FALSE,FALSE,0,0,no_change
BHR,Bahrain,TRUE,TRUE,FALSE,FALSE,0,0,no_change
BGD,Bangladesh,TRUE,TRUE,FALSE,FALSE,0,0,no_change
BRB,Barbados,TRUE,TRUE,FALSE,FALSE,0,0,no_change
BTN,Bhutan,TRUE,TRUE,FALSE,FALSE,0,0,no_change
BOL,Bolivia,TRUE,TRUE,FALSE,FALSE,0,0,no_change
BWA,Botswana,TRUE,TRUE,FALSE,FALSE,0,0,no_change
BRA,Brazil,TRUE,TRUE,TRUE,TRUE,2009,2009,no_change
BGR,Bulgaria,TRUE,TRUE,FALSE,FALSE,0,0,no_change
CAN,Canada,TRUE,TRUE,FALSE,FALSE,0,0,no_change
CPV,Cape Verde,TRUE,TRUE,FALSE,FALSE,0,0,no_change
