iso3c,country_name,year,trade_rank_row_present,trade_rank_observed,n_top_ties,top_partner,top_export_value,rank_CHN,rank_USA,china_top_status,previous_china_top_status,china_top_period_start,china_top_period_id,unga_row_present,outcome_observed,ideal_point_all,q50_percent_all,china_ideal,abs_distance_china,us_agree,china_agree,qualifying_period,china_top,country_role,first_qualifying_entry,first_treat,n_qualifying_periods,main_risk_set_eligible,main_estimation_candidate,untreated_observations,treated_observations,main_estimation_included,row_status
AFG,Afghanistan,1990,TRUE,TRUE,1,DEU,22.149000000000008,,9,0,,FALSE,,TRUE,TRUE,-1.064179,-1.058384,-0.143984,0.9144,0.1084337,0.9036145,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1991,TRUE,TRUE,1,DEU,21.31,30,5,0,0,FALSE,,TRUE,TRUE,-0.900761,-0.8905314,-0.2905311,0.6000003,0.1363636,0.9047619,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1992,TRUE,TRUE,1,DEU,16.480000000000008,9,12,0,0,FALSE,,TRUE,TRUE,-0.4803961,-0.4732572,-0.7378384,0.2645812,0.1690141,0.8529412,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1993,TRUE,TRUE,1,DEU,15.147999999999994,8,6,0,0,FALSE,,TRUE,TRUE,-0.8035896,-0.7994363,-1.468695,0.6692587000000001,0.1851852,0.8846154,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1994,TRUE,TRUE,1,BLX,30.989,2,5,0,0,FALSE,,TRUE,TRUE,-1.167687,-1.167495,-1.684626,0.517131,0.245614,0.8545455,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1995,TRUE,TRUE,1,BLX,18.823653,2,6,0,0,FALSE,,TRUE,TRUE,-0.7848583,-0.7769046,-1.565179,0.7882744000000002,0.2,0.8955224,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1996,TRUE,TRUE,1,USA,17.502862999999998,8,1,0,0,FALSE,,TRUE,TRUE,-1.172654,-1.171739,-1.316512,0.14477299999999982,0.2413793,0.8793103,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1997,TRUE,TRUE,1,PAK,15.365,21,5,0,0,FALSE,,TRUE,TRUE,-0.8165983,-0.8179262,-1.181073,0.3631468,0.1803279,0.8852459,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1998,TRUE,TRUE,1,IND,31.241001,35,4,0,0,FALSE,,TRUE,TRUE,-0.9231253,-0.910236,-0.4062771,0.5039589,0.2439024,0.7948718,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
AFG,Afghanistan,1999,TRUE,TRUE,1,PAK,24.334,10,5,0,0,FALSE,,TRUE,TRUE,-0.9708978,-0.9742774,-0.6530834,0.321194,0.1538462,0.8076923,FALSE,0,never_observed_china_top_control,,0,0,TRUE,TRUE,33,0,TRUE,included_estimation
