statistic,previous,corrected,difference
ATT,-0.1006420140210192,-0.10072962830167595,-8.761428065674759e-5
Bootstrap SE,0.03912661176449206,0.039284768671216226,1.5815690672416755e-4
CI lower,-0.17733017307942364,-0.17772777489725977,-3.976018178361296e-4
CI upper,-0.02395385496261476,-0.023731481706092142,2.2237325652261705e-4
p-value,0.01010504420567779,0.010344712795288327,2.3966858961053765e-4
Selected latent factors,2,2,0
Observations,5037,5002,-35
Countries,161,160,-1
Treated countries,35,35,0
Control countries,126,125,-1
Treated country-years,440,440,0
