min_duration_years,audit_role,iso3c,country_name,first_year_in_panel,last_year_in_panel,trade_years_observed,ever_observed_china_top,first_observed_china_top_year,n_observed_china_top_periods,n_qualifying_periods,n_short_eligible_periods,n_pre_min_entry_periods,n_no_clean_prior_periods,longest_observed_china_top_period,first_qualifying_entry,sample,ever_treated,treated_years,untreated_years,first_treat
3,excluded_no_clean_prior,SSD,South Sudan,2011,2023,11,TRUE,2012,1,0,0,0,1,11,,,,,,
3,excluded_pre_2000,KGZ,Kyrgyzstan,1992,2023,29,TRUE,1992,1,0,0,1,0,4,,,,,,
3,excluded_pre_2000,MNG,Mongolia,1990,2023,33,TRUE,1993,1,0,0,1,0,30,,,,,,
3,excluded_short_duration,ARM,Armenia,1991,2023,31,TRUE,1993,3,0,2,1,0,2,,,,,,
3,excluded_short_duration,BEN,Benin,1990,2023,33,TRUE,2004,3,0,3,0,0,2,,,,,,
3,excluded_short_duration,CAF,Central African Republic,1990,2023,26,TRUE,2013,3,0,3,0,0,2,,,,,,
3,excluded_short_duration,ETH,Ethiopia,1990,2023,30,TRUE,2009,3,0,3,0,0,2,,,,,,
3,excluded_short_duration,GHA,Ghana,1990,2023,33,TRUE,2019,1,0,1,0,0,1,,,,,,
3,excluded_short_duration,GIN,Guinea,1990,2023,33,TRUE,2019,2,0,2,0,0,1,,,,,,
3,excluded_short_duration,LAO,Laos,1990,2023,33,TRUE,2003,2,0,2,0,0,1,,,,,,
3,excluded_short_duration,LBR,Liberia,1991,2023,24,TRUE,2012,2,0,2,0,0,1,,,,,,
3,excluded_short_duration,MLI,Mali,1990,2023,33,TRUE,1991,3,0,2,1,0,2,,,,,,
3,excluded_short_duration,MLT,Malta,1990,2023,33,TRUE,2011,2,0,2,0,0,2,,,,,,
3,excluded_short_duration,MOZ,Mozambique,1990,2023,33,TRUE,2014,1,0,1,0,0,1,,,,,,
3,excluded_short_duration,PAN,Panama,1990,2023,33,TRUE,2021,1,0,1,0,0,2,,,,,,
3,excluded_short_duration,PNG,Papua New Guinea,1990,2023,33,TRUE,2018,1,0,1,0,0,2,,,,,,
3,excluded_short_duration,QAT,Qatar,1990,2023,33,TRUE,2021,1,0,1,0,0,2,,,,,,
3,excluded_short_duration,TCD,Chad,1990,2023,32,TRUE,2019,1,0,1,0,0,2,,,,,,
3,excluded_short_duration,TLS,Timor-Leste,2002,2023,21,TRUE,2021,1,0,1,0,0,2,,,,,,
3,excluded_short_duration,TZA,Tanzania,1990,2023,33,TRUE,2011,1,0,1,0,0,1,,,,,,
3,excluded_short_duration,UKR,Ukraine,1990,2023,31,TRUE,1993,2,0,1,1,0,2,,,,,,
3,excluded_short_duration,UZB,Uzbekistan,1994,2023,28,TRUE,2013,1,0,1,0,0,2,,,,,,
3,excluded_short_duration,VEN,Venezuela,1990,2021,32,TRUE,2021,1,0,1,0,0,1,,,,,,
3,excluded_short_duration,VNM,Vietnam,1990,2023,33,TRUE,2018,1,0,1,0,0,1,,,,,,
3,excluded_short_duration,ZMB,Zambia,1990,2023,33,TRUE,2012,4,0,4,0,0,2,,,,,,
3,never_china_top_control,AFG,Afghanistan,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ALB,Albania,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,AND,Andorra,1993,2023,30,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,30,
3,never_china_top_control,ARE,United Arab Emirates,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ARG,Argentina,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,ATG,Antigua & Barbuda,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,AUT,Austria,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,AZE,Azerbaijan,1991,2023,31,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,31,
3,never_china_top_control,BDI,Burundi,1990,2023,32,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,32,
3,never_china_top_control,BEL,Belgium,1990,2023,24,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,24,
3,never_china_top_control,BGD,Bangladesh,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
3,never_china_top_control,BGR,Bulgaria,1990,2023,33,FALSE,,0,0,0,0,0,0,,clean_single_spell,FALSE,0,33,
