query_partner,act_id,date_celebration,year,subject,is_principal
China,7548,2014-07-16,2014,Consulares e Migratórios,True
China,7550,2014-07-16,2014,Defesa e Segurança,True
China,7336,2012-06-21,2012,Educação e Cultura,True
China,7337,2012-06-21,2012,Cooperação e Desenvolvimento,True
China,7338,2012-06-21,2012,"Economia, Finanças e Tributos",True
China,7101,2011-04-12,2011,Defesa e Segurança,True
China,7102,2011-04-12,2011,Cooperação e Desenvolvimento,True
China,6962,2010-09-14,2010,Relações Diplomáticas e Consulares,True
China,6693,2010-04-16,2010,Educação e Cultura,True
China,6694,2010-04-16,2010,"Ciência, Tecnologia e Inovação",True
China,6692,2010-04-15,2010,Cooperação e Desenvolvimento,True
China,6371,2009-05-19,2009,"Direito, Justiça & Segurança Pública",True
China,6372,2009-05-19,2009,Energia e Recursos Estratégicos,True
China,6373,2009-05-19,2009,Cooperação e Desenvolvimento,True
China,6319,2009-02-19,2009,Energia e Recursos Estratégicos,True
China,5643,2006-06-05,2006,Energia e Recursos Estratégicos,True
China,5644,2006-06-05,2006,Energia e Recursos Estratégicos,True
China,5594,2006-03-23,2006,Educação e Cultura,True
China,5423,2005-08-17,2005,Meio Ambiente e Sustentabilidade,True
China,5247,2004-11-12,2004,"Direito, Justiça & Segurança Pública",True
China,5248,2004-11-12,2004,"Direito, Justiça & Segurança Pública",True
China,5249,2004-11-12,2004,Cooperação e Desenvolvimento,True
China,5250,2004-11-12,2004,"Economia, Finanças e Tributos",True
China,5251,2004-11-12,2004,Serviços e Transporte,True
China,5252,2004-11-12,2004,Mar e Espaço,True
China,5253,2004-11-12,2004,Mar e Espaço,True
China,5255,2004-11-12,2004,"Agricultura, Pecuária e Pesca",True
China,5170,2004-05-24,2004,"Direito, Justiça & Segurança Pública",True
China,5171,2004-05-24,2004,Consulares e Migratórios,True
China,5172,2004-05-24,2004,Cooperação e Desenvolvimento,True
China,5173,2004-05-24,2004,Consulares e Migratórios,True
China,5174,2004-05-24,2004,Cooperação e Desenvolvimento,True
China,5175,2004-05-24,2004,"Agricultura, Pecuária e Pesca",True
China,5176,2004-05-24,2004,Mar e Espaço,True
China,5177,2004-05-24,2004,Serviços e Transporte,True
China,5178,2004-05-24,2004,Cooperação e Desenvolvimento,True
China,5179,2004-05-24,2004,"Trabalho, Saúde e Previdência",True
China,5180,2004-05-24,2004,"Trabalho, Saúde e Previdência",True
China,5015,2003-09-24,2003,Energia e Recursos Estratégicos,True
China,4935,2002-12-02,2002,Cooperação e Desenvolvimento,True
China,4934,2002-11-27,2002,Meio Ambiente e Sustentabilidade,True
China,4779,2001-11-12,2001,Educação e Cultura,True
China,4670,2000-09-21,2000,Meio Ambiente e Sustentabilidade,True
China,4662,2000-08-17,2000,Consulares e Migratórios,True
Índia,7546,2014-07-16,2014,Relações Diplomáticas e Consulares,True
Índia,7547,2014-07-16,2014,Mar e Espaço,True
Índia,7549,2014-07-16,2014,Meio Ambiente e Sustentabilidade,True
Índia,7481,2013-10-15,2013,"Economia, Finanças e Tributos",True
Índia,7482,2013-10-15,2013,"Direito, Justiça & Segurança Pública",True
Índia,7279,2012-03-30,2012,"Direito, Justiça & Segurança Pública",True
Índia,7280,2012-03-30,2012,Cooperação e Desenvolvimento,True
Índia,7282,2012-03-30,2012,Educação e Cultura,True
Índia,7283,2012-03-30,2012,Cooperação e Desenvolvimento,True
Índia,7071,2011-03-08,2011,Serviços e Transporte,True
Índia,6073,2008-04-16,2008,"Direito, Justiça & Segurança Pública",True
Índia,6074,2008-04-16,2008,"Direito, Justiça & Segurança Pública",True
Índia,6075,2008-04-16,2008,Energia e Recursos Estratégicos,True
Índia,6076,2008-04-16,2008,"Agricultura, Pecuária e Pesca",True
Índia,6029,2008-02-18,2008,"Direito, Justiça & Segurança Pública",True
Índia,6030,2008-02-18,2008,Cooperação e Desenvolvimento,True
Índia,6031,2008-02-18,2008,Cooperação e Desenvolvimento,True
Índia,5930,2007-09-12,2007,Relações Diplomáticas e Consulares,True
Índia,5851,2007-06-04,2007,Educação e Cultura,True
Índia,5852,2007-06-04,2007,Mar e Espaço,True
Índia,5816,2007-05-04,2007,"Economia, Finanças e Tributos",True
Índia,5677,2006-09-12,2006,Serviços e Transporte,True
Índia,5678,2006-09-12,2006,"Ciência, Tecnologia e Inovação",True
Índia,5679,2006-09-12,2006,Cooperação e Desenvolvimento,True
Índia,5680,2006-09-12,2006,Educação e Cultura,True
Índia,5551,2006-02-02,2006,Educação e Cultura,True
Índia,5552,2006-02-02,2006,Relações Diplomáticas e Consulares,True
Índia,5550,2006-02-01,2006,Cooperação e Desenvolvimento,True
Índia,5139,2004-01-25,2004,Serviços e Transporte,True
Índia,5140,2004-01-25,2004,Consulares e Migratórios,True
Índia,5141,2004-01-25,2004,Educação e Cultura,True
Índia,5143,2004-01-25,2004,Mar e Espaço,True
Índia,5118,2003-12-01,2003,Defesa e Segurança,True
Índia,4896,2002-08-22,2002,Cooperação e Desenvolvimento,True
Índia,4833,2002-04-08,2002,Energia e Recursos Estratégicos,True
África do Sul,7472,2013-09-16,2013,Meio Ambiente e Sustentabilidade,True
África do Sul,6937,2010-08-24,2010,"Trabalho, Saúde e Previdência",True
África do Sul,6938,2010-08-24,2010,Cooperação e Desenvolvimento,True
África do Sul,6869,2010-07-09,2010,Cooperação e Desenvolvimento,True
África do Sul,6518,2009-10-09,2009,Cooperação e Desenvolvimento,True
África do Sul,6519,2009-10-09,2009,Cooperação e Desenvolvimento,True
África do Sul,6520,2009-10-09,2009,Comércio Internacional e Investimentos,True
África do Sul,6415,2009-07-07,2009,Educação e Cultura,True
África do Sul,6087,2008-05-11,2008,"Economia, Finanças e Tributos",True
África do Sul,5455,2005-09-13,2005,Cooperação e Desenvolvimento,True
África do Sul,5095,2003-11-08,2003,"Economia, Finanças e Tributos",True
África do Sul,5096,2003-11-08,2003,"Ciência, Tecnologia e Inovação",True
África do Sul,5098,2003-11-08,2003,Educação e Cultura,True
África do Sul,4976,2003-06-04,2003,Defesa e Segurança,True
África do Sul,4691,2000-12-13,2000,Cooperação e Desenvolvimento,True
África do Sul,4692,2000-12-13,2000,Cooperação e Desenvolvimento,True
África do Sul,4608,2000-03-01,2000,Cooperação e Desenvolvimento,True
Argentina,7564,2014-11-20,2014,Cooperação e Desenvolvimento,True
Argentina,7510,2014-01-29,2014,"Direito, Justiça & Segurança Pública",True
Argentina,7464,2013-08-15,2013,Energia e Recursos Estratégicos,True
Argentina,7399,2012-12-10,2012,Consulares e Migratórios,True
Argentina,7384,2012-11-22,2012,"Agricultura, Pecuária e Pesca",True
Argentina,7385,2012-11-22,2012,Meio Ambiente e Sustentabilidade,True
Argentina,7386,2012-11-22,2012,Cooperação e Desenvolvimento,True
Argentina,7387,2012-11-22,2012,Cooperação e Desenvolvimento,True
Argentina,7388,2012-11-22,2012,Cooperação e Desenvolvimento,True
Argentina,7389,2012-11-22,2012,Energia e Recursos Estratégicos,True
Argentina,7390,2012-11-22,2012,"Agricultura, Pecuária e Pesca",True
Argentina,7044,2011-01-31,2011,"Fronteira, Infraestrutura e Integração Regional",True
Argentina,7045,2011-01-31,2011,Energia e Recursos Estratégicos,True
Argentina,7046,2011-01-31,2011,Cooperação e Desenvolvimento,True
