query_partner,query_partner_id,act_id,title,normalized_title,instrument_type_derived,date_celebration,year,invalid_date,agreement_type,status,another_party,other_parties,n_other_parties,partner_in_other_parties,subject_names,principal_subjects,n_subjects,signatory_brazil,signatory_other_party,celebration_location,celebration_country,direct_publication,amendment_ids,amended_instrument_ids,replaced_instrument_id,replaced_instrument_title,replacing_instrument_id,replacing_instrument_title,has_explicit_revision_relation,amendment_or_revision_title,strategic_instrument,strategic_rule_match,record_url,full_document_id,full_document_url,n_additional_documents,raw_search_file,raw_detail_file,duplicate_id_within_query,n_partner_queries_for_act,duplicate_id_across_partner_queries,same_title_date_duplicate,missing_date,missing_counterparty,outside_requested_window,analytic_bilateral,same_day_package_size,in_same_day_package
China,58,7548,Acordo entre o Governo da República Federativa do Brasil e o Governo da República Popular da China sobre a Facilitação da Concessão de Vistos para Homens de Negócios,acordo entre o governo da republica federativa do brasil e o governo da republica popular da china sobre a facilitacao da concessao de vistos para homens de negocios,Acordo,2014-07-16,2014,False,BL,Em Vigor,China,China,1,True,Consulares e Migratórios,Consulares e Migratórios,1,Luiz Alberto Figueiredo Machado,Wang Yi,Brasília,Brasil,True,12025,,5173,"Acordo, por troca de Notas, entre o Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério dos Negócios Estrangeiros da República Popular da China para Flexibilização da Concessão de Vistos para Empresários",,,True,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/7548,3673,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3673,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_7548.json,False,1,False,False,False,False,False,True,2,True
China,58,7550,"Protocolo Complementar ao Acordo de Cooperação em Matéria de Defesa entre o Governo da República Federativa do Brasil e o Governo da República Popular da China, na Área de Sensoriamento Remoto, Telecomunicações e Tecnologia da Informação",protocolo complementar ao acordo de cooperacao em materia de defesa entre o governo da republica federativa do brasil e o governo da republica popular da china na area de sensoriamento remoto telecomunicacoes e tecnologia da informacao,Protocolo Complementar,2014-07-16,2014,False,BL,Pendente,China,China,1,True,Defesa e Segurança,Defesa e Segurança,1,Celso Amorim,Xu Dazhe,Brasília,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/7550,3671,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3671,0,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_7550.json,False,1,False,False,False,False,False,True,2,True
China,58,7336,Memorando de Entendimento entre o Governo da República Federativa do Brasil e o Governo da República Popular da China sobre o Estabelecimento Recíproco de Centros Culturais,memorando de entendimento entre o governo da republica federativa do brasil e o governo da republica popular da china sobre o estabelecimento reciproco de centros culturais,Memorando de Entendimento,2012-06-21,2012,False,BL,Em Vigor,China,China,1,True,Educação e Cultura,Educação e Cultura,1,Aloizio Mercadante,Yang Jiechi,Rio de Janeiro,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/7336,3679,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3679,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_7336.json,False,1,False,False,False,False,False,True,3,True
China,58,7337,Plano Decenal de Cooperação entre o Governo da República Federativa do Brasil e o Governo da República Popular da China,plano decenal de cooperacao entre o governo da republica federativa do brasil e o governo da republica popular da china,Plano Decenal,2012-06-21,2012,False,BL,Em Vigor,China,China,1,True,Cooperação e Desenvolvimento,Cooperação e Desenvolvimento,1,Dilma Roussef,Wen Jiabao,Rio de janeiro,Brasil,True,,,,,,,False,False,True,\bplano decenal\b,https://concordia.itamaraty.gov.br/detalhamento-acordo/7337,3742,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3742,0,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_7337.json,False,1,False,False,False,False,False,True,3,True
China,58,7338,Acordo entre o Governo da República Federativa do Brasil e o Governo da República Popular da China Sobre Assistência Mútua Administrativa em Matéria Aduaneira,acordo entre o governo da republica federativa do brasil e o governo da republica popular da china sobre assistencia mutua administrativa em materia aduaneira,Acordo,2012-06-21,2012,False,BL,Em Vigor,China,China,1,True,"Economia, Finanças e Tributos","Economia, Finanças e Tributos",1,Guido Mantega,Yu Guangzhou,Rio de janeiro,Brasil,False,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/7338,3681,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3681,3,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_7338.json,False,1,False,False,False,False,False,True,3,True
China,58,7101,Acordo entre o Governo da República Federativa do Brasil e o Governo da República Popular da China sobre Cooperação em Matéria de Defesa,acordo entre o governo da republica federativa do brasil e o governo da republica popular da china sobre cooperacao em materia de defesa,Acordo,2011-04-12,2011,False,BL,Tramitação Congresso Nacional,China,China,1,True,Defesa e Segurança,Defesa e Segurança,1,Antonio de Aguiar Patriota,General Liang Guanglie,Pequim,China,False,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/7101,3731,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3731,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_7101.json,False,1,False,False,False,False,False,True,2,True
China,58,7102,Comunicado Conjunto entre a República Federativa do Brasil e a República Popular da China,comunicado conjunto entre a republica federativa do brasil e a republica popular da china,Comunicado Conjunto,2011-04-12,2011,False,BL,Em Vigor,China,China,1,True,Cooperação e Desenvolvimento,Cooperação e Desenvolvimento,1,Dilma Rousseff,Hu Jintao,Pequim,China,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/7102,3697,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3697,0,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_7102.json,False,1,False,False,False,False,False,True,2,True
China,58,6962,Memorando de Entendimento sobre Cooperação entre o Instituto Rio Branco do Ministério das Relações Exteriores da República Federativa do Brasil e a Universidade de Assuntos Estrangeiros da China,memorando de entendimento sobre cooperacao entre o instituto rio branco do ministerio das relacoes exteriores da republica federativa do brasil e a universidade de assuntos estrangeiros da china,Memorando de Entendimento,2010-09-14,2010,False,BL,Em Vigor,China,China,1,True,Relações Diplomáticas e Consulares,Relações Diplomáticas e Consulares,1,Georges Lamazière,Heng Xiaojun,Pequim,China,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/6962,3727,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3727,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_6962.json,False,1,False,False,False,False,False,True,1,False
China,58,6693,Programa Executivo de Cooperação Cultural entre o Governo da República Federativa do Brasil e o Governo da República Popular da China para os Anos de 2010-2012,programa executivo de cooperacao cultural entre o governo da republica federativa do brasil e o governo da republica popular da china para os anos de 2010 2012,Programa Executivo,2010-04-16,2010,False,BL,Em Vigor,China,China,1,True,Educação e Cultura,Educação e Cultura,1,Clodoaldo Hgueney Filho,Qiu Xiaoqi,Brasilia,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/6693,3725,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3725,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_6693.json,False,1,False,False,False,False,False,True,2,True
China,58,6694,Memorando de Entendimento entre o Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério do Comércio da República Popular da China para o Estabelecimento de Grupo de Trabalho sobre Propriedade Intelectual no Âmbito da Subcomissão Econômico-Comercial da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação,memorando de entendimento entre o ministerio das relacoes exteriores da republica federativa do brasil e o ministerio do comercio da republica popular da china para o estabelecimento de grupo de trabalho sobre propriedade intelectual no ambito da subcomissao economico comercial da comissao sino brasileira de alto nivel de concertacao e cooperacao,Memorando de Entendimento,2010-04-16,2010,False,BL,Em Vigor,China,China,1,True,"Ciência, Tecnologia e Inovação","Ciência, Tecnologia e Inovação",1,Celso Amorim,Chen Deming,Brasilia,Brasil,True,,,,,,,False,False,True,"\bcomissao .{0,80}\balto nivel\b",https://concordia.itamaraty.gov.br/detalhamento-acordo/6694,3741,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3741,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_6694.json,False,1,False,False,False,False,False,True,2,True
China,58,6692,"Plano de Ação Conjunta entre o Governo da República Federativa do Brasil e o Governo da República Popular da China, 2010-2014",plano de acao conjunta entre o governo da republica federativa do brasil e o governo da republica popular da china 2010 2014,Plano de Ação,2010-04-15,2010,False,BL,Expirado,China,China,1,True,Cooperação e Desenvolvimento,Cooperação e Desenvolvimento,1,Luiz Inácio Lula da Silva,Hu Jintao,Brasilia,Brasil,True,,,,,,,False,False,True,\bplano (?:de )?acao conjunta\b,https://concordia.itamaraty.gov.br/detalhamento-acordo/6692,3755,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3755,0,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_6692.json,False,1,False,False,False,False,False,True,1,False
China,58,6371,Tratado entre a República Federativa do Brasil e a República Popular da China sobre Auxílio Judicial em Matéria Civil e Comercial,tratado entre a republica federativa do brasil e a republica popular da china sobre auxilio judicial em materia civil e comercial,Tratado,2009-05-19,2009,False,BL,Em Vigor,China,China,1,True,"Direito, Justiça & Segurança Pública","Direito, Justiça & Segurança Pública",1,Celso Amorim,Yabg Hiechi,Pequim,China,False,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/6371,3740,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3740,4,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_6371.json,False,1,False,False,False,False,False,True,3,True
China,58,6372,"Memorando de Entendimento entre o Governo da República Federativa do Brasil e o Governo da República da China sobre Petróleo, Equipamento e Financiamento",memorando de entendimento entre o governo da republica federativa do brasil e o governo da republica da china sobre petroleo equipamento e financiamento,Memorando de Entendimento,2009-05-19,2009,False,BL,Em Vigor,China,China,1,True,Energia e Recursos Estratégicos,Energia e Recursos Estratégicos,1,Celso Amorim,Zhang Guobao,Pequim,China,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/6372,3721,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3721,0,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_6372.json,False,1,False,False,False,False,False,True,3,True
China,58,6373,Comunicado Conjunto entre a República do Brasil e a República Popular da China sobre o Contínuo Fortalecimento da Parceria Estratégica,comunicado conjunto entre a republica do brasil e a republica popular da china sobre o continuo fortalecimento da parceria estrategica,Comunicado Conjunto,2009-05-19,2009,False,BL,Em Vigor,China,China,1,True,Cooperação e Desenvolvimento,Cooperação e Desenvolvimento,1,Luiz Inácio Lula da Silva,Hu Jintao,Pequim,China,True,,,,,,,False,False,True,\bparceria estrategica\b,https://concordia.itamaraty.gov.br/detalhamento-acordo/6373,3723,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3723,0,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_6373.json,False,1,False,False,False,False,False,True,3,True
China,58,6319,Protocolo entre o Governo da República Federativa do Brasil e o Governo da República Popular da China sobre Cooperação em Energia e Mineração,protocolo entre o governo da republica federativa do brasil e o governo da republica popular da china sobre cooperacao em energia e mineracao,Protocolo,2009-02-19,2009,False,BL,Em Vigor,China,China,1,True,Energia e Recursos Estratégicos,Energia e Recursos Estratégicos,1,Márcio Pereira Zimmermann,Mu Hong,Brasília,Brasil,True,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/6319,3730,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/3730,1,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_6319.json,False,1,False,False,False,False,False,True,1,False
China,58,5643,Acordo sobre o Fortalecimento da Cooperação na Área de Implementação de Infra-Estrutura de Construção entre o Governo da República Federativa do Brasil e o Governo da República Popular da China,acordo sobre o fortalecimento da cooperacao na area de implementacao de infra estrutura de construcao entre o governo da republica federativa do brasil e o governo da republica popular da china,Acordo,2006-06-05,2006,False,BL,Em Vigor,China,China,1,True,Energia e Recursos Estratégicos,Energia e Recursos Estratégicos,1,Silas Rondeau,Ma Xiuhong,Pequim,China,False,,,,,,,False,False,False,,https://concordia.itamaraty.gov.br/detalhamento-acordo/5643,4252,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/4252,3,data/raw/concordia_bilateral_acts/20260828T222000Z/searches/china/page_001.json,data/raw/concordia_bilateral_acts/20260828T222000Z/details/act_5643.json,False,1,False,False,False,False,False,True,2,True
