iso3c,estimate_china,rmspe_pre_china,status_china,error_china,estimate_anchor,rmspe_pre_anchor,status_anchor,error_anchor,estimate_difference,status
ALB,-0.12960192634070486,0.13849454920879836,estimated,,0.040944888547022065,0.11054666461945796,estimated,,-0.17054681488772694,estimated
ARE,0.08740928249862982,0.09308962346464957,estimated,,0.07997425073785121,0.09028039507885113,estimated,,0.007435031760778615,estimated
AUT,-0.09109925453804378,0.05550394241217992,estimated,,-0.01721033404143687,0.031787548657241746,estimated,,-0.07388892049660692,estimated
AZE,-0.1512467070121814,0.07814144129723186,estimated,,0.11684087601341567,0.033450442977347165,estimated,,-0.2680875830255971,estimated
BGD,0.0453642320128071,0.10095355975119175,estimated,,0.089720548225511,0.07442006103414169,estimated,,-0.044356316212703896,estimated
BGR,-0.014138708101661089,0.05294551097195203,estimated,,0.026102265944154365,0.0479925645742439,estimated,,-0.040240974045815454,estimated
BHR,-0.09784273420711014,0.11981801962952948,estimated,,-0.18118836188908333,0.08202674405838437,estimated,,0.08334562768197319,estimated
BLR,0.07512735143376822,0.17692123661982376,estimated,,-0.32010956931524254,0.12390207404797654,estimated,,0.39523692074901073,estimated
BOL,0.3520781051834245,0.06464745728229103,estimated,,0.6984058936734212,0.041320414682010094,estimated,,-0.34632778848999674,estimated
BRA,-0.27983585409011513,0.05940723967721933,estimated,,0.2563351767967507,0.01876170513114089,estimated,,-0.5361710308868659,estimated
BRB,0.1259712301017287,0.06239953154784505,estimated,,-0.16396273023699168,0.03196595758351221,estimated,,0.2899339603387204,estimated
BTN,-0.031808922749357406,0.09075435170475456,estimated,,0.043374435633523736,0.09225462177826368,estimated,,-0.07518335838288115,estimated
BWA,-0.008588696677834913,0.07073812845341079,estimated,,0.112864038182079,0.0628248388592438,estimated,,-0.12145273485991392,estimated
CAN,0.2571325829529838,0.09125966794732569,estimated,,0.15463321635174382,0.09209886815455068,estimated,,0.10249936660123998,estimated
CIV,-0.0067006016354697545,0.11580833359969456,estimated,,0.05622732214638672,0.12558385108147022,estimated,,-0.06292792378185648,estimated
COL,0.13558050191936652,0.08784873246532747,estimated,,-0.09185152933846408,0.07594671750010286,estimated,,0.2274320312578306,estimated
COM,-0.026808054575539697,0.07919716021344735,estimated,,-0.009697986276580186,0.14442801430050545,estimated,,-0.01711006829895951,estimated
CPV,-0.01637891725377866,0.07887752827062715,estimated,,0.04052909905228707,0.05918040042492003,estimated,,-0.056908016306065734,estimated
CRI,-0.07906051767351421,0.09109006630038824,estimated,,0.06350834813161418,0.06923260886035475,estimated,,-0.1425688658051284,estimated
CYP,-0.05483251356774276,0.06649072188167354,estimated,,0.0525251263688769,0.0557579897211514,estimated,,-0.10735763993661966,estimated
CZE,0.04795124108596182,0.044765742568882695,estimated,,0.1071502476685398,0.03754747579019357,estimated,,-0.05919900658257798,estimated
DEU,0.10230179617085249,0.08529799120942712,estimated,,0.19533358876013104,0.037841992267403445,estimated,,-0.09303179258927856,estimated
DNK,-0.023013159986185167,0.04414829991846826,estimated,,0.006257922009238221,0.01823855008565255,estimated,,-0.029271081995423387,estimated
DOM,-0.0960544014885903,0.14307228952555662,estimated,,-0.057232722494624653,0.09580002469422509,estimated,,-0.03882167899396565,estimated
DZA,-0.05592750757586108,0.15714257705591042,estimated,,-0.12107247757058547,0.09058438734976773,estimated,,0.06514496999472438,estimated
ECU,0.2085989030713585,0.06554283199326098,estimated,,0.607411604755397,0.06138938322935229,estimated,,-0.3988127016840385,estimated
EGY,-0.11297658647035777,0.19871339390093118,estimated,,-0.1982199644896311,0.06654452145167387,estimated,,0.08524337801927334,estimated
ESP,-0.030356579976303512,0.03896875062592507,estimated,,0.040843731224281025,0.03182775752761593,estimated,,-0.07120031120058454,estimated
EST,0.024987773009865523,0.034523707490057,estimated,,0.04732377377697147,0.023613733336965627,estimated,,-0.02233600076710595,estimated
FIN,-0.037224859383394905,0.05309843214781699,estimated,,0.052744029957924043,0.027654892529820594,estimated,,-0.08996888934131894,estimated
FJI,-0.15928095154096453,0.1748359745478141,estimated,,-0.0030818230997034703,0.12157519238622777,estimated,,-0.15619912844126105,estimated
FRA,-0.11483008855496671,0.061085409435857246,estimated,,-0.0547247882669527,0.05779934767023669,estimated,,-0.06010530028801401,estimated
GAB,0.20538834924732882,0.059065302503509304,estimated,,-0.2691881702141917,0.1131940907800951,estimated,,0.4745765194615206,estimated
GBR,-0.020988247261303664,0.07115036311524622,estimated,,0.013587663889174371,0.054338159109827554,estimated,,-0.034575911150478034,estimated
GEO,0.07855633117735382,0.11637920375304979,estimated,,0.18284579812472726,0.07514070189365932,estimated,,-0.10428946694737344,estimated
GHA,-0.05642499773374651,0.08881553312557115,estimated,,0.01762513265430589,0.04855533788221105,estimated,,-0.0740501303880524,estimated
GIN,-0.014606176482481274,0.07136325737288417,estimated,,-0.3645287399392121,0.06862146467305699,estimated,,0.34992256345673084,estimated
GRC,-0.3232821280426185,0.03979851483842624,estimated,,-0.20418016066540212,0.026234004316780767,estimated,,-0.1191019673772164,estimated
GTM,-0.10431933228786057,0.06273958012941612,estimated,,-0.039438195622436605,0.023816122034461873,estimated,,-0.06488113666542397,estimated
GUY,-0.012310125997427788,0.042394703268846846,estimated,,0.09874520106938793,0.02312666687921819,estimated,,-0.11105532706681571,estimated
HRV,-0.006197077746747347,0.05512940704378555,estimated,,0.0010952264485211342,0.050829211707606924,estimated,,-0.007292304195268481,estimated
HTI,-0.12141564147706776,0.2353848896265299,estimated,,0.030470505001228543,0.11987341780825829,estimated,,-0.15188614647829632,estimated
HUN,-0.02039020500002903,0.04878929812653707,estimated,,0.011377642803611912,0.027109265514729912,estimated,,-0.03176784780364094,estimated
IND,-0.013609299338258152,0.16588221737352107,estimated,,-0.12177674131673774,0.14976637695198938,estimated,,0.10816744197847959,estimated
IRL,-0.07447305153935938,0.04245037550548196,estimated,,-0.026184310045217873,0.03524379138582431,estimated,,-0.0482887414941415,estimated
ISL,-0.097700686006264,0.056955576976513204,estimated,,0.045100020452084943,0.028065952931080655,estimated,,-0.14280070645834894,estimated
ISR,0.05417863325986376,0.06154764656897709,estimated,,0.11062677528208865,0.0626452774743532,estimated,,-0.056448142022224895,estimated
ITA,-3.861688645775037e-5,0.0584988553097983,estimated,,0.06954757561978608,0.032570523681431075,estimated,,-0.06958619250624383,estimated
JAM,0.07144243753414073,0.055406938250147454,estimated,,-0.10068901195301715,0.02448702468564091,estimated,,0.17213144948715786,estimated
JOR,0.019294311995389724,0.1381201754317923,estimated,,0.021776073905848493,0.15988294503624953,estimated,,-0.00248176191045877,estimated
KEN,-0.030124508994506895,0.09397385284219069,estimated,,-0.011315595433148926,0.07861036882915551,estimated,,-0.01880891356135797,estimated
KWT,-0.007211781234814393,0.10752096748157117,estimated,,-0.03445736950707925,0.12288118773392755,estimated,,0.027245588272264854,estimated
LBN,0.16149817172477654,0.19469577087907475,estimated,,0.10988206094963442,0.10639381463798608,estimated,,0.051616110775142124,estimated
LBY,-0.5671826054345954,0.16683668733462034,estimated,,-0.7386529946231706,0.0972126725931434,estimated,,0.17147038918857516,estimated
LKA,0.03676909001030193,0.08041864236980079,estimated,,-0.1078082008155344,0.0673190594012946,estimated,,0.1445772908258363,estimated
LTU,0.04049369093613423,0.03787318086427161,estimated,,0.0901032468609723,0.0276788566958854,estimated,,-0.049609555924838074,estimated
LVA,-0.003326245035463358,0.04015317026801927,estimated,,0.057781296371381026,0.023534080882973974,estimated,,-0.061107541406844386,estimated
