weight_rank,iso3c,country_name,region,latin_america,unit_weight,high_weight_donor,mean_china_export_share_post_treatment,mean_china_export_share_pre_treatment,max_china_export_share_post_treatment,max_china_export_share_pre_treatment,mean_china_rank_post_treatment,mean_china_rank_pre_treatment,min_china_rank_post_treatment,min_china_rank_pre_treatment,ever_china_top_export_destination_post_treatment,ever_china_top_export_destination_pre_treatment,ever_china_top_two_export_destination_post_treatment,ever_china_top_two_export_destination_pre_treatment,delta_mean_china_export_share_post_minus_pre,china_exposure_flag
1,GEO,Georgia,Europe & Central Asia,FALSE,0.03133023266048371,TRUE,0.013183020149961195,0.006212169587936335,0.018484068731230815,0.02922160641181316,20.285714285714285,32,14,10,FALSE,FALSE,FALSE,FALSE,0.00697085056202486,No top-two China export-destination exposure
2,SGP,Singapore,East Asia & Pacific,FALSE,0.02948290496284423,TRUE,0.11156973269965752,0.07166244436184319,0.12129826971367362,0.10355103295953477,1.8571428571428572,4.666666666666667,1,2,TRUE,FALSE,TRUE,TRUE,0.03990728833781433,China top export destination post-2009
3,TCD,Chad,Sub-Saharan Africa,FALSE,0.028183607198968313,TRUE,0.06142016709806731,0.03845087127085264,0.16127086873705324,0.1618757501724755,3.142857142857143,20.916666666666668,2,2,FALSE,FALSE,TRUE,TRUE,0.022969295827214666,China top-two export destination post-2009
4,GTM,Guatemala,Latin America & Caribbean,TRUE,0.02744237807038138,TRUE,0.006561595594136318,0.0029123209609842964,0.01649341824424995,0.0138881240076265,26.571428571428573,50.916666666666664,11,10,FALSE,FALSE,FALSE,FALSE,0.003649274633152022,No top-two China export-destination exposure
5,PRY,Paraguay,Latin America & Caribbean,TRUE,0.02715375891975293,TRUE,0.005547999804362351,0.0065701455554926114,0.006369877529994962,0.017578962497453728,26.714285714285715,20.75,21,11,FALSE,FALSE,FALSE,FALSE,-0.0010221457511302608,No top-two China export-destination exposure
6,BOL,Bolivia,Latin America & Caribbean,TRUE,0.02257238206939235,TRUE,0.03314071380037938,0.008541840716768645,0.051351674274693185,0.02275153584447628,7.285714285714286,18.75,4,10,FALSE,FALSE,FALSE,FALSE,0.024598873083610737,No top-two China export-destination exposure
7,ALB,Albania,Europe & Central Asia,FALSE,0.02209515447935757,TRUE,0.06724725444582746,0.012399986643768918,0.08764216652246311,0.06252204578906231,2.857142857142857,40.583333333333336,2,3,FALSE,FALSE,TRUE,FALSE,0.05484726780205855,China top-two export destination post-2009
8,COL,Colombia,Latin America & Caribbean,TRUE,0.022054893053197536,TRUE,0.05632630340140763,0.0076368705647354256,0.11315299895918365,0.03142267829450714,3.5714285714285716,31.166666666666668,2,6,FALSE,FALSE,TRUE,FALSE,0.04868943283667221,China top-two export destination post-2009
9,DOM,Dominican Republic,Latin America & Caribbean,TRUE,0.021835601516816853,TRUE,0.020536751874175946,0.003584634315062039,0.0333103209686871,0.013066291414002064,5.285714285714286,35.583333333333336,3,9,FALSE,FALSE,FALSE,FALSE,0.016952117559113907,No top-two China export-destination exposure
10,IND,India,South Asia,FALSE,0.02128951206745312,TRUE,0.0596715106615055,0.04919865776228696,0.07896878245704583,0.0810073688741623,3,6.416666666666667,3,2,FALSE,FALSE,FALSE,TRUE,0.010472852899218538,No top-two China export-destination exposure
