specification,estimate,se_placebo,ci_95_low,ci_95_high,p_normal_two_sided,rmspe_pre,rmspe_post,rmspe_ratio,n_units,n_donors,n_pre_years,n_post_years,status,error,removed_donors,n_removed_donors,estimate_change_vs_main,percent_change_vs_main,inference
Preferred: no covariates,-0.27277140758306007,NA,NA,NA,NA,0.05777659740154044,0.32033122306339695,5.544307513250275,96,95,12,7,estimated,,NA,0,0,0,Main SE and rank reported separately
Drop Georgia (rank 1),-0.26990439267053856,NA,NA,NA,NA,0.059805060915078576,0.31802934394565135,5.317766407716626,95,94,12,7,estimated,,GEO,1,0.002867014912521504,1.0510687091162536,Point estimate only
Drop Singapore (rank 2),-0.275483842481584,NA,NA,NA,NA,0.05968121123925769,0.3238997064610781,5.427163754478565,95,94,12,7,estimated,,SGP,1,-0.0027124348985239077,-0.9943985414592839,Point estimate only
Drop Chad (rank 3),-0.2718467157160466,NA,NA,NA,NA,0.059721820631921836,0.31883702182567986,5.3387023110152585,95,94,12,7,estimated,,TCD,1,9.246918670134385e-4,0.3389988251359761,Point estimate only
Drop Guatemala (rank 4),-0.2771331544200561,NA,NA,NA,NA,0.05917138854488805,0.322687991980438,5.453446334720427,95,94,12,7,estimated,,GTM,1,-0.004361746836996028,-1.599048403072766,Point estimate only
Drop Paraguay (rank 5),-0.2737233550056313,NA,NA,NA,NA,0.059198973143899734,0.32040285312663647,5.412304236220573,95,94,12,7,estimated,,PRY,1,-9.519474225712088e-4,-0.34899091184303715,Point estimate only
Drop Bolivia (rank 6),-0.262953745758946,NA,NA,NA,NA,0.05841082747129603,0.3167804526094558,5.4233173252874485,95,94,12,7,estimated,,BOL,1,0.009817661824114088,3.5992268805243333,Point estimate only
Drop Albania (rank 7),-0.2742382097759536,NA,NA,NA,NA,0.0583143086608103,0.3229091147196983,5.537390773127814,95,94,12,7,estimated,,ALB,1,-0.0014668021928935238,-0.537740449371284,Point estimate only
Drop Colombia (rank 8),-0.26955667250328563,NA,NA,NA,NA,0.05886959725387738,0.31534128382982407,5.356606780744614,95,94,12,7,estimated,,COL,1,0.0032147350797744334,1.1785454744905888,Point estimate only
Drop Dominican Republic (rank 9),-0.27558248750112996,NA,NA,NA,NA,0.058110072295694315,0.32497264806304466,5.592363513323724,95,94,12,7,estimated,,DOM,1,-0.002811079918069892,-1.03056252962067,Point estimate only
Drop India (rank 10),-0.27324260476871853,NA,NA,NA,NA,0.0585582093064837,0.32181798580549736,5.495693765517262,95,94,12,7,estimated,,IND,1,-4.7119718565846735e-4,-0.17274434656975027,Point estimate only
Drop top 10 donors by weight,-0.26829022166956146,NA,NA,NA,NA,0.07372009539539055,0.32402980337033904,4.395406729093835,86,85,12,7,estimated,,GEO;SGP;TCD;GTM;PRY;BOL;ALB;COL;DOM;IND,10,0.004481185913498609,1.6428356451304627,Point estimate only
