spec_id,outcome,iso3c,cue_year,partner,ddd,rank_directional,n_units,p_placebo_directional,n_votes_hr_post,n_votes_nonhr_post,n_votes_hr_pre,n_votes_nonhr_pre
latam_controls,agreement,CHL,2007,USA,0.035955303969052936,12,27,0.4444444444444444,93,204,90,245
latam_controls,agreement,BRA,2009,USA,0.04662424782238323,7,27,0.25925925925925924,87,175,96,251
latam_controls,agreement,URY,2013,USA,0.08369934881044108,5,27,0.18518518518518517,72,191,87,174
latam_controls,distance,CHL,2007,USA,-0.02395774186750953,12,27,0.4444444444444444,93,204,90,245
latam_controls,distance,BRA,2009,USA,-0.1811347819699683,4,27,0.14814814814814814,87,175,96,251
latam_controls,distance,URY,2013,USA,-0.14795725408388322,4,27,0.14814814814814814,72,191,87,174
displaced_partner,agreement,KOR,2003,USA,-0.13546666542338334,94,104,0.9038461538461539,90,245,79,213
displaced_partner,agreement,AUS,2007,JPN,-0.10860593755608698,87,103,0.8446601941747572,67,69,63,99
displaced_partner,agreement,CHL,2007,USA,0.09728356936758957,15,104,0.14423076923076922,93,204,90,245
displaced_partner,agreement,BRA,2009,USA,0.051210770822898856,26,104,0.25,87,175,96,251
displaced_partner,agreement,ZAF,2010,GBR,-0.022994877613858707,60,104,0.5769230769230769,65,111,70,128
displaced_partner,agreement,NZL,2013,AUS,0.036297848890946637,33,104,0.3173076923076923,69,126,74,99
displaced_partner,agreement,URY,2013,BRA,-0.04173943976710758,52,104,0.5,16,49,22,31
displaced_partner,distance,KOR,2003,USA,0.35506393765547883,100,104,0.9615384615384616,90,245,79,213
displaced_partner,distance,AUS,2007,JPN,0.15154130861256102,87,103,0.8446601941747572,67,69,63,99
displaced_partner,distance,CHL,2007,USA,-0.159260095130808,16,104,0.15384615384615385,93,204,90,245
displaced_partner,distance,BRA,2009,USA,-0.21807891469388913,10,104,0.09615384615384616,87,175,96,251
displaced_partner,distance,ZAF,2010,GBR,-0.03795698604888184,38,104,0.36538461538461536,65,111,70,128
displaced_partner,distance,NZL,2013,AUS,-0.09448717577868744,30,104,0.28846153846153844,69,126,74,99
displaced_partner,distance,URY,2013,BRA,-0.10031515380096367,35,104,0.33653846153846156,16,49,22,31
