unit,n_treated,event_time,gap
KOR,1,-6,-0.027148015885561705
KOR,1,-5,-0.04503013930376987
KOR,1,-4,-0.032579664403371456
KOR,1,-3,0.006799060319143235
KOR,1,-2,-0.06075307386117368
KOR,1,-1,0.016986858426434104
KOR,1,0,0.18829421358692744
KOR,1,1,0.17042209844510436
KOR,1,2,-0.06768131653637388
KOR,1,3,0.11822282055683497
KOR,1,4,-0.0472271212439449
KOR,1,5,0.017254374172032128
KOR,1,6,0.0542818670371531
AUS,1,-10,-0.10732825960168113
AUS,1,-9,-0.19816209346194602
AUS,1,-8,-0.14251973368364734
AUS,1,-7,-0.18428012646476088
AUS,1,-6,-0.13823301844964242
AUS,1,-5,-0.07938229461107849
AUS,1,-4,0.021467509023425313
AUS,1,-3,0.09338583143402346
AUS,1,-2,0.09928865345937332
AUS,1,-1,0.22752625645283642
AUS,1,0,0.18282882018994528
AUS,1,1,0.22296038832184828
AUS,1,2,0.0609778580419702
AUS,1,3,0.16438629122490656
AUS,1,4,0.1005180771039853
AUS,1,5,0.12663320726383898
AUS,1,6,0.12937677584149498
BRA,1,-12,-0.05229911691876621
BRA,1,-11,-0.06487053569385309
BRA,1,-10,0.08727510073014155
BRA,1,-9,0.12289073387388305
BRA,1,-8,0.0266279851850032
BRA,1,-7,0.0179368598176195
BRA,1,-6,0.05181612489348464
BRA,1,-5,0.06151864708760357
BRA,1,-4,-0.01892675859431403
BRA,1,-3,0.028960788017340366
BRA,1,-2,-0.02099694101206795
BRA,1,-1,-0.009470665198311523
BRA,1,0,-0.18375727688841248
BRA,1,1,-0.21874778891078595
BRA,1,2,-0.3166621794860719
BRA,1,3,-0.35126624101521153
BRA,1,4,-0.3064977812894232
BRA,1,5,-0.4110976920074235
BRA,1,6,-0.001909232217019552
CHL,1,-12,-0.03676807851200936
CHL,1,-11,-0.166532140297304
CHL,1,-10,-0.020653290418334413
CHL,1,-9,-0.007979966334933808
CHL,1,-8,0.1020998177271869
CHL,1,-7,-0.11907678781581199
CHL,1,-6,0.0010389220386178843
CHL,1,-5,0.07312128159852582
CHL,1,-4,-0.05065109468398066
CHL,1,-3,-0.03390161050749352
CHL,1,-2,0.024213448683814698
CHL,1,-1,0.03317405897356496
CHL,1,0,-0.05715633342888171
CHL,1,1,-0.07852379170629276
CHL,1,2,-0.06700170914027359
CHL,1,3,-0.204521585517634
CHL,1,4,-0.20784084719313112
CHL,1,5,-0.2134673312159019
CHL,1,6,-0.3261223007400097
ZAF,1,-13,0.10887410627729155
ZAF,1,-12,0.08456385398151234
ZAF,1,-11,0.2993220249541766
ZAF,1,-10,0.3510078934105334
ZAF,1,-9,0.30104667638199656
ZAF,1,-8,-0.036908559787076634
ZAF,1,-7,0.06462934484347738
ZAF,1,-6,-0.026096335675592885
ZAF,1,-5,0.022304470456479653
ZAF,1,-4,-0.04751964430559186
ZAF,1,-3,-0.09092185448218859
ZAF,1,-2,-0.0759421282809205
ZAF,1,-1,-0.03660969029921679
ZAF,1,0,0.10962775392891744
ZAF,1,1,-0.13212742678886435
ZAF,1,2,0.16391137460365235
ZAF,1,3,-0.09339328486473741
ZAF,1,4,0.023452239127713104
ZAF,1,5,0.5670785628964461
ZAF,1,6,-0.04239794543928144
URY,1,-16,0.07170768223731128
URY,1,-15,-0.026876861486928805
URY,1,-14,0.13322315968537346
URY,1,-13,0.16495614263321734
URY,1,-12,0.10499783100241311
URY,1,-11,0.08330004838998473
URY,1,-10,0.1559459588922224
URY,1,-9,0.17282201546147613
URY,1,-8,0.05651546392250617
URY,1,-7,0.10715669052615073
URY,1,-6,0.0553142170089278
URY,1,-5,0.11976236917342997
URY,1,-4,0.07466540569490565
URY,1,-3,0.1239003399783809
URY,1,-2,-0.01825549327077991
URY,1,-1,-0.06382631917245973
URY,1,0,-0.19998083684531687
URY,1,1,-0.12389010665384803
URY,1,2,0.013188702863776491
URY,1,3,-0.2260759931101901
URY,1,4,-0.16334205509757938
URY,1,5,-0.1678591982015809
URY,1,6,-0.2260413193765194
NZL,1,-16,-0.020652749445440766
NZL,1,-15,-0.02400109137814027
NZL,1,-14,-0.05898289762867953
NZL,1,-13,-0.02633228297475726
NZL,1,-12,5.777100570622529e-4
NZL,1,-11,-0.1207180507734123
NZL,1,-10,-0.027515124057796714
NZL,1,-9,-0.03986952594250265
NZL,1,-8,-0.048780401126359785
NZL,1,-7,-0.04648942374577497
NZL,1,-6,-0.14253358082195672
NZL,1,-5,-0.07206939387950989
NZL,1,-4,0.06288665840540769
NZL,1,-3,0.04788945458209953
NZL,1,-2,0.017451467978820634
NZL,1,-1,-0.05651714733492602
NZL,1,0,-0.17551718024721302
NZL,1,1,0.035277494613682625
NZL,1,2,-0.4664392320862261
NZL,1,3,-0.20197890012695335
NZL,1,4,-0.3130669289330264
NZL,1,5,-0.15280258586145462
NZL,1,6,-0.21723651024388752
