object,status,class,nrow,ncol,length,columns,error
synth_data,read,character,,,1,,
synth_data_extended,read,character,,,1,,
synth_fit,read,character,,,1,,
se_synth,read,character,,,1,,
synth_fit_latam,read,character,,,1,,
se_synth_latam,read,character,,,1,,
rmspe_diagnostics,read,character,,,1,,
permutation_results,read,character,,,1,,
sensitivity_results,read,character,,,1,,
donor_table,read,character,,,1,,
trade_data_ranked,read,character,,,1,,
trade_data_cleaned,read,character,,,1,,
unga_data,read,character,,,1,,
