variable,label,role,brazil_pre_mean,synthetic_pre_mean,donor_pool_unweighted_pre_mean,brazil_minus_synthetic,standardized_difference
abs_distance_china,Absolute UNGA ideal-point distance to China,Outcome,0.6467778905833333,0.9875941790859187,0.9480764124587719,-0.3408162885025854,-0.43350158849226217
gpi,Global Power Index,Main covariate,0.17857519706566746,-0.03470461716338913,0.0022714309351390253,0.2132798142290566,0.40371571609192947
abs_distance_usa,Absolute UNGA ideal-point distance to the United States,Available outcome/covariate diagnostic,2.8734196760833335,2.6070653413049154,2.69777984227807,0.2663543347784181,0.2934432305994527
perc_trade_with_us,Export share to the United States,Main covariate,0.08860337421206912,0.052724662901429076,0.028110864712791308,0.03587871131064005,0.07169939978093076
perc_trade_with_china,Export share to China,Main covariate,0.5548997782530728,-0.1380075114642302,-0.1269226340542758,0.692907289717303,2.44783404120162
pci_cur,Per-capita income,Main covariate,-0.23350518383315028,-0.11328301331067506,-0.06646359131974151,-0.12022217052247522,-0.3013350314791836
exachange_rate,Exchange rate,Main covariate,-0.1470832311859646,0.015606903092963241,-0.00943892702989108,-0.16269013427892787,-0.4217401055140857
distance_us,Geographic distance to Washington,Main covariate,-0.15570655839743588,-0.02910568718146539,0.0016390164041835621,-0.1266008712159705,-0.2507436970037217
us_power_gap,Power gap to the United States,Main covariate,0.04116562019224115,0.22146162303380507,0.1902039360504404,-0.1802960028415639,-0.40371571609192924
hog_left,Head of government is left,Main covariate,0.5,0.3734012730487948,0.37456140350877193,0.12659872695120522,0.3662006917677495
CA_GDP,Current account balance (% GDP),Main covariate,0.01709779184158193,-0.08698187298557608,0.0036866565724301206,0.10407966482715801,0.26162687430485543
govdef_GDP,Government budget deficit (% GDP),Main covariate,-0.2443910622383861,0.02289411768248493,0.0724321240887957,-0.26728517992087103,-0.7761201940575018
inst_parliamentary,Parliamentary system,Institutional covariate,0,0.42751146163329523,0.38947368421052636,-0.42751146163329523,-0.8889133576211462
inst_military_exec,Military executive,Institutional covariate,0,0.09351729695754597,0.11929824561403514,-0.09351729695754597,-0.31954955307928423
us_trade_agreement,Trade agreement with the United States,Institutional covariate,0,0.044129227803923955,0.05350877192982455,-0.044129227803923955,-0.2282803509113041
latin_america,Latin America and Caribbean donor indicator,Available grouping variable,1,0.27393236247472913,0.20000000000000004,0.7260676375252708,1.8055902982233825
