specification,estimate,rmspe_pre,rmspe_post,rmspe_ratio,n_units,n_donors,n_pre_years,n_post_years,status,error,removed_donors,n_removed_donors,placebo_se,inference_available,estimate_change_vs_baseline,percent_change_vs_baseline,substantive_stability
Baseline: no donor removed,-0.26394046182119363,0.060127465311269473,0.3351516437182222,5.5740191605150855,96,95,12,7,estimated,,,0,0.14496980105886167,Baseline placebo SE from existing target se_synth.,0,0,Stable within 10%
Drop MLT (rank 1),-0.27409371570462066,0.06175432819892248,0.3339247816426878,5.407309760816316,95,94,12,7,estimated,,MLT,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,-0.010153253883427027,-3.8467970440641817,Stable within 10%
Drop GEO (rank 2),-0.26237835848083224,0.061628730428355746,0.3322248868995637,5.390746890133973,95,94,12,7,estimated,,GEO,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,0.001562103340361387,0.591839284353315,Stable within 10%
Drop PRY (rank 3),-0.2640445066163407,0.0617196534432333,0.33613277262349794,5.446122164840999,95,94,12,7,estimated,,PRY,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,-1.0404479514708465e-4,-0.039419797339587045,Stable within 10%
Drop TCD (rank 4),-0.2590588596659912,0.062264708048086224,0.3356071168561364,5.390005468217267,95,94,12,7,estimated,,TCD,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,0.004881602155202447,1.8495088329842684,Stable within 10%
Drop GTM (rank 5),-0.2674593687880034,0.061460245780224576,0.33751995512203076,5.491679228374173,95,94,12,7,estimated,,GTM,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,-0.003518906966809787,-1.333219977918228,Stable within 10%
Drop COL (rank 6),-0.2601228200417039,0.0611715138877969,0.3293765321043494,5.384475733402712,95,94,12,7,estimated,,COL,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,0.0038176417794897333,1.4464026292702303,Stable within 10%
Drop IND (rank 7),-0.26369520029870486,0.061000877319336094,0.33699383467865346,5.524409639463217,95,94,12,7,estimated,,IND,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,2.452615224887711e-4,0.09292304817399441,Stable within 10%
Drop DOM (rank 8),-0.26665520963965295,0.06028819905273332,0.3388135208939857,5.619897860900271,95,94,12,7,estimated,,DOM,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,-0.0027147478184593177,-1.0285455286876108,Stable within 10%
Drop BOL (rank 9),-0.24599916022401536,0.06097521070800866,0.33306101054979265,5.46223632001402,95,94,12,7,estimated,,BOL,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,0.017941301597178272,6.7974805656484,Stable within 10%
Drop TUR (rank 10),-0.2670048798406253,0.06070368774235014,0.3361646963350268,5.537796941791073,95,94,12,7,estimated,,TUR,1,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,-0.0030644180194316917,-1.161026239890298,Stable within 10%
Drop top 5 donors by weight,-0.2726886770806985,0.06959526825926271,0.3349334874210056,4.81258993317305,91,90,12,7,estimated,,MLT;GEO;PRY;TCD;GTM,5,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,-0.008748215259504866,-3.3144653908468724,Stable within 10%
Drop top 10 donors by weight,-0.25228592277436046,0.07519201105145061,0.33320996525612806,4.431454360598589,86,85,12,7,estimated,,MLT;GEO;PRY;TCD;GTM;COL;IND;DOM;BOL;TUR,10,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,0.011654539046833168,4.415593943579795,Stable within 10%
Drop donors with weight >= 2x uniform,-0.2576695170747978,0.07586559111736191,0.33395223904103577,4.401893323739101,85,84,12,7,estimated,,MLT;GEO;PRY;TCD;GTM;COL;IND;DOM;BOL;TUR;FJI,11,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,0.0062709447463958345,2.3758936781144544,Stable within 10%
Drop high-weight Latin America/Caribbean donors,-0.24723954090834674,0.06546196411095,0.334696838209587,5.1128444243181725,91,90,12,7,estimated,,PRY;GTM;COL;DOM;BOL,5,,Point estimate only; placebo SE/rank not recomputed for donor-removal sensitivity.,0.01670092091284689,6.327533413259284,Stable within 10%
