iso3c,country_name,n_years,first_year,last_year,exact_common_grid,outcome_complete,rank_complete,ever_china_top,first_china_top_year,last_china_top_year,china_top_years,complete_common_panel,focal_country,sample_role
AFG,Afghanistan,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ALB,Albania,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
AND,Andorra,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ARE,United Arab Emirates,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ARG,Argentina,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ATG,Antigua & Barbuda,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
AUT,Austria,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
AZE,Azerbaijan,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BGD,Bangladesh,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BGR,Bulgaria,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BHR,Bahrain,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BHS,Bahamas,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BLR,Belarus,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BLZ,Belize,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BOL,Bolivia,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BRB,Barbados,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BRN,Brunei,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BTN,Bhutan,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
BWA,Botswana,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
CAN,Canada,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
CIV,Côte d’Ivoire,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
COL,Colombia,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
COM,Comoros,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
CPV,Cape Verde,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
CRI,Costa Rica,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
CYP,Cyprus,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
CZE,Czechia,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
DEU,Germany,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
DJI,Djibouti,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
DMA,Dominica,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
DNK,Denmark,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
DOM,Dominican Republic,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
DZA,Algeria,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ECU,Ecuador,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
EGY,Egypt,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ESP,Spain,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
EST,Estonia,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
FIN,Finland,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
FJI,Fiji,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
FRA,France,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
FSM,Micronesia (Federated States of),26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
GBR,United Kingdom,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
GEO,Georgia,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
GRC,Greece,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
GRD,Grenada,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
GTM,Guatemala,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
GUY,Guyana,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
HND,Honduras,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
HRV,Croatia,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
HTI,Haiti,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
HUN,Hungary,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
IND,India,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
IRL,Ireland,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ISL,Iceland,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ISR,Israel,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
ITA,Italy,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
JAM,Jamaica,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
JOR,Jordan,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
KEN,Kenya,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
KNA,St. Kitts & Nevis,26,1997,2022,TRUE,TRUE,TRUE,FALSE,NA,NA,,TRUE,FALSE,clean_never_china_top_control
