variant,event_time,count,att,se,ci_lo,ci_hi
BSV common window,-27,1,-0.04079704011721996,0.046279810937192176,-0.13150546955411663,0.0499113893196767
BSV common window,-26,2,-0.09349849946265698,0.07564777556743023,-0.2417681395748202,0.05477114064950625
BSV common window,-25,3,-0.08489063926766365,0.05020081491733968,-0.1832842365056494,0.013502957970322124
BSV common window,-24,3,0.033438262072032966,0.1456369296157635,-0.25201011997486344,0.3188866441189294
BSV common window,-23,4,0.10485544742354092,0.11074791665918601,-0.11221046922846367,0.3219213640755455
BSV common window,-22,7,-0.0773652552126121,0.0573937857964422,-0.18985707537363883,0.03512656494841461
BSV common window,-21,9,0.09213388342485246,0.03412010069532837,0.025258486062008853,0.15900928078769605
BSV common window,-20,12,-0.0013633499253300218,0.041711495487960874,-0.08311788108173333,0.08039118123107329
BSV common window,-19,14,0.012932174648246097,0.04524850514100479,-0.07575489542812329,0.10161924472461549
BSV common window,-18,17,0.0015983314942042072,0.03937043236169407,-0.07556771593471616,0.07876437892312459
BSV common window,-17,21,-0.02693791339288552,0.032122717271398836,-0.08989843924482724,0.03602261245905619
BSV common window,-16,25,-0.03463050550687324,0.03293604848973033,-0.09918516054674467,0.029924149532998205
BSV common window,-15,26,0.013071125890395476,0.032039718509151396,-0.04972672238754126,0.07586897416833221
BSV common window,-14,29,0.007057608730832366,0.02263041436238286,-0.03729800341943804,0.05141322088110278
BSV common window,-13,32,-0.04778173370406898,0.03535169310385892,-0.11707105218763246,0.021507584779494507
BSV common window,-12,33,0.011204623393390043,0.03171031973136476,-0.050947603280084894,0.07335685006686497
BSV common window,-11,34,-0.021080738645955062,0.02622341459916149,-0.0724786312603116,0.030317153968401463
BSV common window,-10,33,0.0010922299859909843,0.03139095158751872,-0.06043403512554571,0.06261849509752768
BSV common window,-9,35,0.04141117876356865,0.031694738125997615,-0.020710507963386672,0.10353286549052398
BSV common window,-8,35,0.03554471286305043,0.028151262560704604,-0.019631761755930593,0.09072118748203145
BSV common window,-7,34,0.020409247718676204,0.0327923825185009,-0.043863822017585555,0.08468231745493797
BSV common window,-6,33,-0.008851482236603094,0.02760554151543368,-0.06295834360685311,0.04525537913364692
BSV common window,-5,33,0.009914246958803134,0.0229925432791478,-0.03515113786832655,0.05497963178593282
BSV common window,-4,34,-0.016937434696984582,0.02864821373693176,-0.07308793362137084,0.039213064227401666
BSV common window,-3,32,-0.018751782408880487,0.030290633474569596,-0.07812142401903689,0.04061785920127592
BSV common window,-2,32,0.028166829254174873,0.026307753043736986,-0.02339636671154962,0.07973002521989936
BSV common window,-1,33,-0.03355168359223529,0.030831059644213756,-0.09398056049489426,0.026877193310423673
BSV common window,0,35,0.005149064719212444,0.022706940069951213,-0.03935653781789194,0.04965466725631682
BSV common window,1,35,-0.056484218755615295,0.029105439310570958,-0.11353087980433438,5.624422931037806e-4
BSV common window,2,35,-0.04408786059039723,0.03233099922810791,-0.10745661907748871,0.01928089789669426
BSV common window,3,35,-0.05110595640141787,0.042811248570459634,-0.13501600359951876,0.03280409079668301
