iso3c,treated_unit,first_treated_year,n_years,cor_bsv_dm,mean_abs_diff,mean_bsv_pre,mean_dm_pre,mean_bsv_treated,mean_dm_treated,within_change_bsv,within_change_dm
TKM,TRUE,2010,29,0.7691812545837401,0.2861823018205892,0.7015708005555555,0.8557734012341789,0.2888223818181818,0.1382541450918388,-0.4127484187373737,-0.71751925614234
AUS,TRUE,2009,31,0.6573870101159563,0.26975583795142316,2.0054608631578947,2.1227998458285744,1.9092927166666667,2.211323297727921,-0.09616814649122807,0.08852345189934674
JPN,TRUE,2008,31,0.9122589508321455,0.2566885984091734,1.7936598833333335,1.9783310786824493,1.265334776923077,1.5473942463491788,-0.5283251064102565,-0.4309368323332705
ZWE,TRUE,2011,28,0.7335630408715508,0.2536413630453389,0.4533084333333333,0.3726154240065922,1.0385141142857144,0.7370925748700845,0.5852056809523811,0.3644771508634923
SDN,TRUE,2000,16,0.7730513824053644,0.24607776886353322,0.70667731,0.5075919193170217,0.5987970499999999,0.4247316735938648,-0.10788026000000006,-0.08286024572315692
GNQ,TRUE,2017,22,0.9072894546517057,0.24515675917085855,0.5323801587777778,0.7301630169711115,0.12390050000000004,0.2611255379990132,-0.40847965877777775,-0.4690374789720983
CUB,TRUE,2004,30,0.9033125431126243,0.24499448671435642,0.7678626,0.5819123441752406,0.94749835625,0.7082741217361288,0.17963575625000006,0.12636177756088818
PER,TRUE,2010,31,0.7630746455994255,0.24265638256927421,0.7594860262500001,0.9184609116726277,0.4469777909090909,0.6934053076701713,-0.31250823534090916,-0.2250556040024564
URY,TRUE,2013,31,0.8770841283087105,0.23401134140005772,0.8252449634782608,0.9834871544934458,0.19303542125,0.5274511276320403,-0.6322095422282608,-0.45603602686140554
CHL,TRUE,2007,31,0.839308703334704,0.22941829665932228,0.810492676817647,0.9743874891184823,0.41976907392857143,0.648689767765851,-0.3907236028890756,-0.3256977213526313
NZL,TRUE,2013,31,0.8051681354910989,0.22672061763848117,1.6427415869565218,1.7820087505919164,1.1815049,1.5118415298006993,-0.46123668695652187,-0.27016722079121713
KOR,TRUE,2003,30,0.7702403208093205,0.22511837547272026,1.536474275,1.6752310799479806,1.39371525,1.619731075329302,-0.14275902499999993,-0.055500004618678656
IRN,TRUE,2007,30,0.7866290321086372,0.22084805411991515,0.6008224705882353,0.4694488796034342,1.1466704384615385,1.2357781810353696,0.5458479678733031,0.7663293014319355
PRK,TRUE,2008,25,0.8007719487454046,0.2148666755090435,0.698680623076923,0.6043258898139827,0.7688358166666667,0.911607533932236,0.07015519358974365,0.3072816441182533
YEM,TRUE,2005,24,0.47630733374049083,0.2146232134983573,0.4875022230769231,0.42532214641538785,0.36628514545454544,0.5551314307854736,-0.12121707762237766,0.1298092843700857
COD,TRUE,2008,31,0.721384376715037,0.21325918091045265,0.5532605216666666,0.4702765373234099,0.21778416923076924,0.294081899955777,-0.33547635243589735,-0.1761946373676329
GAB,TRUE,2017,31,0.798004710730343,0.20853791825664938,0.3392242555555556,0.4504593974068123,0.15223657499999999,0.2806490117519598,-0.1869876805555556,-0.1698103856548525
SLB,TRUE,2003,31,0.9192011770193812,0.20453809363757997,1.0615130446153846,1.2085806417931668,0.47953162944444444,0.6078432957810129,-0.5819814151709402,-0.6007373460121539
PHL,TRUE,2005,31,0.5209307277919356,0.20191958455158343,0.48561652,0.48775842470682934,0.25245230625000004,0.32489819345136867,-0.23316421374999996,-0.16286023125546067
OMN,TRUE,2004,30,0.4992364802438995,0.2015590004933211,0.5005901153846154,0.38280316289330846,0.5488431294117647,0.5547817813099108,0.04825301402714932,0.1719786184166024
