iso3c,country_name,entry_year,incumbent_partner_name,incumbent_partner_iso3,window_start_year,window_end_year,query_used,language_scope,source_strategy,accessed_at,notes
SLB,Solomon Islands,2003,Japan,JPN,2002,2004,"""Solomon Islands"" ""Japan"" ""largest export market"" 2002 2004",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
SLB,Solomon Islands,2003,Japan,JPN,2002,2004,"""Solomon Islands"" ""Japan"" ""top export destination"" 2002 2004",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
SLB,Solomon Islands,2003,Japan,JPN,2002,2004,"""Solomon Islands"" ""Japan"" trade exports 2002 2004",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
SLB,Solomon Islands,2003,Japan,JPN,2002,2004,"""China"" ""Solomon Islands"" ""Japan"" overtook displaced replaced 2002 2004",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
PHL,Philippines,2005,Japan,JPN,2004,2006,"""Philippines"" ""Japan"" ""largest export market"" 2004 2006",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
PHL,Philippines,2005,Japan,JPN,2004,2006,"""Philippines"" ""Japan"" ""top export destination"" 2004 2006",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
PHL,Philippines,2005,Japan,JPN,2004,2006,"""Philippines"" ""Japan"" trade exports 2004 2006",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
PHL,Philippines,2005,Japan,JPN,2004,2006,"""China"" ""Philippines"" ""Japan"" overtook displaced replaced 2004 2006",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
AGO,Angola,2007,United States,USA,2006,2008,"""Angola"" ""United States"" ""largest export market"" 2006 2008",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
AGO,Angola,2007,United States,USA,2006,2008,"""Angola"" ""United States"" ""top export destination"" 2006 2008",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
AGO,Angola,2007,United States,USA,2006,2008,"""Angola"" ""United States"" trade exports 2006 2008",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
AGO,Angola,2007,United States,USA,2006,2008,"""China"" ""Angola"" ""United States"" overtook displaced replaced 2006 2008",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
CHL,Chile,2008,United States,USA,2007,2009,"""Chile"" ""United States"" ""largest export market"" 2007 2009",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
CHL,Chile,2008,United States,USA,2007,2009,"""Chile"" ""United States"" ""top export destination"" 2007 2009",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
CHL,Chile,2008,United States,USA,2007,2009,"""Chile"" ""United States"" trade exports 2007 2009",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
CHL,Chile,2008,United States,USA,2007,2009,"""China"" ""Chile"" ""United States"" overtook displaced replaced 2007 2009",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
BRA,Brazil,2009,United States,USA,2008,2010,"""Brazil"" ""United States"" ""largest export market"" 2008 2010",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
BRA,Brazil,2009,United States,USA,2008,2010,"""Brazil"" ""United States"" ""top export destination"" 2008 2010",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
BRA,Brazil,2009,United States,USA,2008,2010,"""Brazil"" ""United States"" trade exports 2008 2010",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
BRA,Brazil,2009,United States,USA,2008,2010,"""China"" ""Brazil"" ""United States"" overtook displaced replaced 2008 2010",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
MYS,Malaysia,2009,Singapore,SGP,2008,2010,"""Malaysia"" ""Singapore"" ""largest export market"" 2008 2010",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
MYS,Malaysia,2009,Singapore,SGP,2008,2010,"""Malaysia"" ""Singapore"" ""top export destination"" 2008 2010",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
MYS,Malaysia,2009,Singapore,SGP,2008,2010,"""Malaysia"" ""Singapore"" trade exports 2008 2010",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
MYS,Malaysia,2009,Singapore,SGP,2008,2010,"""China"" ""Malaysia"" ""Singapore"" overtook displaced replaced 2008 2010",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
AUS,Australia,2010,Japan,JPN,2009,2011,"""Australia"" ""Japan"" ""largest export market"" 2009 2011",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
AUS,Australia,2010,Japan,JPN,2009,2011,"""Australia"" ""Japan"" ""top export destination"" 2009 2011",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
AUS,Australia,2010,Japan,JPN,2009,2011,"""Australia"" ""Japan"" trade exports 2009 2011",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
AUS,Australia,2010,Japan,JPN,2009,2011,"""China"" ""Australia"" ""Japan"" overtook displaced replaced 2009 2011",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
SLE,Sierra Leone,2012,Belgium,BEL,2011,2013,"""Sierra Leone"" ""Belgium"" ""largest export market"" 2011 2013",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
SLE,Sierra Leone,2012,Belgium,BEL,2011,2013,"""Sierra Leone"" ""Belgium"" ""top export destination"" 2011 2013",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
SLE,Sierra Leone,2012,Belgium,BEL,2011,2013,"""Sierra Leone"" ""Belgium"" trade exports 2011 2013",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
SLE,Sierra Leone,2012,Belgium,BEL,2011,2013,"""China"" ""Sierra Leone"" ""Belgium"" overtook displaced replaced 2011 2013",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
URY,Uruguay,2013,Brazil,BRA,2012,2014,"""Uruguay"" ""Brazil"" ""largest export market"" 2012 2014",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
URY,Uruguay,2013,Brazil,BRA,2012,2014,"""Uruguay"" ""Brazil"" ""top export destination"" 2012 2014",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
URY,Uruguay,2013,Brazil,BRA,2012,2014,"""Uruguay"" ""Brazil"" trade exports 2012 2014",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
URY,Uruguay,2013,Brazil,BRA,2012,2014,"""China"" ""Uruguay"" ""Brazil"" overtook displaced replaced 2012 2014",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
MMR,Myanmar (Burma),2014,Thailand,THA,2013,2015,"""Myanmar (Burma)"" ""Thailand"" ""largest export market"" 2013 2015",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
MMR,Myanmar (Burma),2014,Thailand,THA,2013,2015,"""Myanmar (Burma)"" ""Thailand"" ""top export destination"" 2013 2015",English plus local-language variants where relevant,"local newspaper, national news agency, official statistics/trade ministry, and supplemental archived/international context",2026-05-23T22:04:48+00:00,Search terms logged for reproducibility; raw files are preserved for located URLs.
