iso3c,country_name,entry_year,status_cue_salience,ex_top1_coverage_code,implication_for_china_status_cue_absence,incumbent_partner_name,incumbent_partner_iso3,incumbent_rank_year,incumbent_export_share,china_export_share,principal_sources,principal_labels,n_broad_trade_partner_context_sources,broad_trade_partner_context_sources,broad_trade_partner_context_labels,coding_rationale,remaining_gaps
SLB,Solomon Islands,2003,unknown,unknown,weak_observation,Japan,JPN,2002,0.21641132208209077,0.1917908505582498,,,0,,,No countable local/official source establishes incumbent-rank uptake in the window.,Need Solomon Islands local/official 2002-2004 archive access; only international macro context was located.
PHL,Philippines,2005,unknown,unknown,weak_observation,Japan,JPN,2004,0.164179633286042,0.14790759859985353,,,0,,,No countable local/official source establishes incumbent-rank uptake in the window.,Additional local-language archive search is required before treating absence as substantive.
AGO,Angola,2007,unknown,unknown,weak_observation,United States,USA,2006,0.380374048201121,0.3418606125260145,,,0,,,No countable local/official source establishes incumbent-rank uptake in the window.,Need Angolan local/official 2006-2008 source; located evidence is third-country context only.
CHL,Chile,2008,high,high,china_status_cue_observed,United States,USA,2007,0.1490431102783299,0.1392408078322962,AQUA; Diario Financiero,main destination by country for Chilean exports; main destination for Chilean shipments worldwide,0,,,2 countable source(s) use rank/displacement language for the incumbent; sources: AQUA; Diario Financiero.,No major gap for the benchmark code; still verify raw files before manuscript use.
BRA,Brazil,2009,high,high,china_status_cue_observed,United States,USA,2008,0.14445759068422728,0.12239662813789091,Agência Brasil; Ministério das Relações Exteriores / FUNAG,largest Brazilian trading partner; largest trading partner,0,,,2 countable source(s) use rank/displacement language for the incumbent; sources: Agência Brasil; Ministério das Relações Exteriores / FUNAG.,No major gap for the benchmark code; still verify raw files before manuscript use.
MYS,Malaysia,2009,unknown,medium,more_informative_absence,Singapore,SGP,2008,0.1445123340671952,0.122671639168054,"Ministry of Investment, Trade and Industry",Singapore was the largest market for Malaysia's exports,0,,,"One countable source uses incumbent rank/status language; source: Ministry of Investment, Trade and Industry.","Preserve rank-definition caveat: MITI separately reports China as second-largest in 2009, and China/Hong Kong aggregation may alter interpretation."
AUS,Australia,2010,unknown,medium,more_informative_absence,Japan,JPN,2009,0.20278456261764813,0.1957160405270169,Australian Department of Foreign Affairs and Trade,China became largest and Japan became second-largest export market; Japan remained Australia's largest export market; Japan was Australia's largest export market,1,Australian Financial Review,Australia's largest aggregate trading partner,3 countable row(s) from one independent source/source family use incumbent rank/status language; source: Australian Department of Foreign Affairs and Trade.,"AFR broad aggregate-trading-partner source is archived as DO_NOT_COUNT context: it documents metric mismatch and pre-existing salience, not export-destination uptake."
SLE,Sierra Leone,2012,unknown,unknown,weak_observation,Belgium,BEL,2011,0.25446608775836654,0.06435568781440068,,,0,,,No countable local/official source establishes incumbent-rank uptake in the window.,Statistics Sierra Leone 2013 conflicts with Belgium-as-incumbent for the China-entry window.
URY,Uruguay,2013,high,high,china_status_cue_observed,Brazil,BRA,2012,0.1626363307642825,0.15979241453710394,Montevideo Portal; Presidencia Uruguay,Brazil is the main destination for foreign sales; Brazil remains the main destination,0,,,2 countable source(s) use rank/displacement language for the incumbent; sources: Montevideo Portal; Presidencia Uruguay.,No major gap for the benchmark code; still verify raw files before manuscript use.
MMR,Myanmar (Burma),2014,unknown,unknown,weak_observation,Thailand,THA,2013,0.3607390491553406,0.25271546757808705,,,0,,,No countable local/official source establishes incumbent-rank uptake in the window.,Available source ranks Thailand second and is not Myanmar-local; audit fiscal/calendar timing before inference.
SAU,Saudi Arabia,2015,high,unknown,china_status_cue_observed,United States,USA,2014,0.13743972276583785,0.13547202403495204,NA,NA,0,NA,NA,No countable local/official source establishes incumbent-rank uptake in the window.,No countable Saudi-local source in this pass establishes the United States as pre-entry export #1.
GAB,Gabon,2017,unknown,unknown,weak_observation,Congo - Brazzaville,COG,2016,0.2234229987535943,0.1382108249723208,NA,NA,0,NA,NA,No countable local/official source establishes incumbent-rank uptake in the window.,No countable local/official coverage of Congo-Brazzaville as incumbent was recovered.
KWT,Kuwait,2018,unknown,unknown,weak_observation,South Korea,KOR,2017,0.17040536837953707,0.1588575512715303,,,0,,,No countable local/official source establishes incumbent-rank uptake in the window.,Additional local-language archive search is required before treating absence as substantive.
QAT,Qatar,2021,medium,medium,china_status_cue_observed,Japan,JPN,2020,0.1659218299772745,0.15026620548073413,The Peninsula Qatar,Japan emerged as top export destination,0,,,One countable source uses incumbent rank/status language; source: The Peninsula Qatar.,No major gap for the benchmark code; still verify raw files before manuscript use.
