source_id,newspaper,country,requested_date,observation_unit,mechanism,http_statuses,access_outcome,records_returned_by_source,records_wrong_date,records_before_dedup,records_after_dedup,duplicate_url_rows,duplicate_original_id_rows,possible_duplicate_title_rows,source_declared_total,source_declared_total_basis,html_reconciliation_count,pages_requested,pagination_evidence,pagination_complete,denominator_assessment,publication_date_method,date_inferred_records,update_only_records,absence_type,additional_volume_retrieved,access_problems,extraction_problems,historical_structure_note,fidelity_sample_n,fidelity_result,status,status_justification
civil_georgia,Civil Georgia,Georgia,2000-06-15,web article/post,WordPress REST API plus daily HTML reconciliation,,robots_disallowed,0,0,,,0,0,0,,,,0,No total-pages header received,false,unknown because the content route was not requested,,0,0,access_failure,one daily HTML reconciliation page,robots.txt explicitly disallows the requested archive/API route for the pilot user agent; no content request was made,,Outside the publisher's declared online period (begins 2001).,0,not_sampled,bloqueado,Collection stopped at the publisher's explicit robots.txt restriction; blank counts are preserved.
civil_georgia,Civil Georgia,Georgia,2009-06-15,web article/post,WordPress REST API plus daily HTML reconciliation,,robots_disallowed,0,0,,,0,0,0,,,,0,No total-pages header received,false,unknown because the content route was not requested,,0,0,access_failure,one daily HTML reconciliation page,robots.txt explicitly disallows the requested archive/API route for the pilot user agent; no content request was made,,Current WordPress API serves this archived date; legacy and current archive routes coexist.,0,not_sampled,bloqueado,Collection stopped at the publisher's explicit robots.txt restriction; blank counts are preserved.
civil_georgia,Civil Georgia,Georgia,2014-06-15,web article/post,WordPress REST API plus daily HTML reconciliation,,robots_disallowed,0,0,,,0,0,0,,,,0,No total-pages header received,false,unknown because the content route was not requested,,0,0,access_failure,one daily HTML reconciliation page,robots.txt explicitly disallows the requested archive/API route for the pilot user agent; no content request was made,,Current WordPress API serves this archived date; legacy and current archive routes coexist.,0,not_sampled,bloqueado,Collection stopped at the publisher's explicit robots.txt restriction; blank counts are preserved.
civil_georgia,Civil Georgia,Georgia,2026-08-15,web article/post,WordPress REST API plus daily HTML reconciliation,,robots_disallowed,0,0,,,0,0,0,,,,0,No total-pages header received,false,unknown because the content route was not requested,,0,0,access_failure,one daily HTML reconciliation page,robots.txt explicitly disallows the requested archive/API route for the pilot user agent; no content request was made,,Current WordPress API serves this archived date; legacy and current archive routes coexist.,0,not_sampled,bloqueado,Collection stopped at the publisher's explicit robots.txt restriction; blank counts are preserved.
cyprus_mail,Cyprus Mail,Cyprus,2000-06-15,web article/post,WordPress REST API plus daily HTML reconciliation,200,success,9,0,9,9,0,0,0,9,X-WP-Total for the pre-specified daily interval,9,1,X-WP-TotalPages=1,true,publisher API total reconciled with all API pages,wordpress_rest_date,0,0,none,one daily HTML reconciliation page,,,The legacy WordPress archive exposes article metadata for this date; the two successful dates do not prove uninterrupted daily coverage.,1,fail,parcial,At least one saved-source fidelity check failed.
cyprus_mail,Cyprus Mail,Cyprus,2009-06-15,web article/post,WordPress REST API plus daily HTML reconciliation,200|404,http_failure|success,0,0,0,0,0,0,0,0,X-WP-Total for the pre-specified daily interval,,1,X-WP-TotalPages=0,true,publisher API total reconciled with all API pages,,0,0,archive_returned_zero_not_zero_news,one daily HTML reconciliation page,,,The legacy archive API returned zero and its daily HTML route returned 404; the recent date also falls after the publisher's move to a current platform.,0,not_sampled,inconclusivo,The archive route returned no exact-day records; coverage is insufficient to interpret this as a zero-news day.
cyprus_mail,Cyprus Mail,Cyprus,2014-06-15,web article/post,WordPress REST API plus daily HTML reconciliation,200,success,24,0,24,24,0,0,0,24,X-WP-Total for the pre-specified daily interval,10,1,X-WP-TotalPages=1,true,publisher API total reconciled with all API pages,wordpress_rest_date,0,0,none,one daily HTML reconciliation page,,daily HTML listing count differs from exact-day API records,The legacy WordPress archive exposes article metadata for this date; the two successful dates do not prove uninterrupted daily coverage.,1,fail,parcial,"API enumeration succeeded, but the HTML listing did not reconcile."
cyprus_mail,Cyprus Mail,Cyprus,2026-08-15,web article/post,WordPress REST API plus daily HTML reconciliation,200|404,http_failure|success,0,0,0,0,0,0,0,0,X-WP-Total for the pre-specified daily interval,,1,X-WP-TotalPages=0,true,publisher API total reconciled with all API pages,,0,0,archive_returned_zero_not_zero_news,one daily HTML reconciliation page,,,The legacy archive API returned zero and its daily HTML route returned 404; the recent date also falls after the publisher's move to a current platform.,0,not_sampled,inconclusivo,The archive route returned no exact-day records; coverage is insufficient to interpret this as a zero-news day.
diena,Diena,Latvia,2000-06-15,web article listing,monthly chronological index plus daily HTML page,404,http_failure,0,0,,,0,0,0,,,,1,single daily page; no pagination link expected in the date-specific route,false,recovered daily listing only; no source count found,,0,0,archive_unavailable,monthly index only (116394 bytes); records restricted to requested day,,,"Early archive is absent or extremely sparse, consistent with a pre-2007 indexing break.",0,not_sampled,inconclusivo,No publisher-provided day count was found for reconciliation.
diena,Diena,Latvia,2009-06-15,web article listing,monthly chronological index plus daily HTML page,200,success,143,0,143,124,0,19,16,143,count adjacent to requested date in monthly archive index,,1,single daily page; no pagination link expected in the date-specific route,true,publisher day count in monthly index,listing_time_element,0,0,none,monthly index only (134008 bytes); records restricted to requested day,,,The current hierarchical year/month/day archive exposes article listings and a monthly day count.,1,pass,adequado,The explicit archive/API universe was enumerated and date/deduplication checks passed.
