iso3c,country_name,entry_year,n_newspaper_sources_strong,n_official_sources_strong,n_total_strong_or_moderate,has_explicit_export_rank_label,has_explicit_generic_trade_partner_label,has_official_uptake,has_newspaper_uptake,salience_code,negative_case_candidate,coding_rationale,remaining_gaps,search_windows_tried,n_queries_logged
OMN,Oman,2000,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2000-2001;2004-2005,6
SDN,Sudan,2000,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2000-2001;2007-2008;2013-2014,8
PRK,North Korea,2002,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2002-2003;2008-2009;2022-2023,9
COG,Congo - Brazzaville,2003,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2003-2004;2011-2012,6
KOR,South Korea,2003,1,1,2,true,false,true,true,high,no,2 countable source(s) from 2 independent publisher(s) in 2003-2004.,,2003-2004,5
LAO,Laos,2003,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2003-2004;2014-2015,5
YEM,Yemen,2003,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2003-2004;2005-2006;2017-2018;2022-2023,11
BEN,Benin,2004,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2004-2005;2008-2009;2012-2013,7
CUB,Cuba,2004,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2004-2005;2017-2018,6
BFA,Burkina Faso,2005,0,0,0,false,false,false,false,unknown,no,"No fully archived, verified local/official rank cue in searched entry windows; absence is not established.",Local/official archive coverage and metric alignment remain insufficient for a negative-case inference.,2005-2006,3
