rcid,doc_symbol,year,issue_family,vote_brazil,vote_china,similarity_score,similarity_label
4521,A/RES/59/307,2005,Palestina/Oriente Médio,yes,yes,1,igual
4522,A/RES/59/280,2005,Outros / sem codificação,no,no,1,igual
4594,A/RES/60/231,2005,Direitos humanos,yes,yes,1,igual
4595,A/RES/60/230,2005,Outros / sem codificação,yes,yes,1,igual
4596,A/RES/60/229,2005,Outros / sem codificação,yes,yes,1,igual
4597,A/RES/60/226,2005,Outros / sem codificação,yes,abstain,0.5,parcial
4598,A/RES/60/200,2005,Outros / sem codificação,yes,yes,1,igual
4599,A/RES/60/185,2005,Desenvolvimento econômico,yes,yes,1,igual
4600,A/RES/60/184,2005,Desenvolvimento econômico,yes,yes,1,igual
4601,A/RES/60/183,2005,Palestina/Oriente Médio,yes,yes,1,igual
4602,A/RES/60/170,2005,Direitos humanos,abstain,abstain,1,igual
4603,A/RES/60/174,2005,Direitos humanos,yes,no,0,oposto
4604,A/RES/60/173,2005,Direitos humanos,yes,no,0,oposto
4605,A/RES/60/172,2005,Direitos humanos,yes,no,0,oposto
4606,A/RES/60/171,2005,Direitos humanos,abstain,no,0.5,parcial
4607,A/RES/60/165,2005,Direitos humanos,yes,yes,1,igual
4608,A/RES/60/164,2005,Direitos humanos,yes,yes,1,igual
4609,A/RES/60/163,2005,Direitos humanos,yes,yes,1,igual
4610,A/RES/60/162,2005,Outros / sem codificação,yes,yes,1,igual
4611,A/RES/60/157,2005,Desenvolvimento econômico; Direitos humanos,yes,yes,1,igual
4612,A/RES/60/155,2005,Direitos humanos,yes,yes,1,igual
4613,A/RES/60/152,2005,Direitos humanos,abstain,yes,0.5,parcial
4614,A/RES/60/150,2005,Outros / sem codificação,yes,yes,1,igual
4615,A/RES/60/146,2005,Descolonização; Direitos humanos; Palestina/Oriente Médio,yes,yes,1,igual
4616,A/RES/60/144,2005,Direitos humanos,yes,yes,1,igual
4617,A/RES/60/143,2005,Direitos humanos,yes,yes,1,igual
4618,A/RES/60/45,2005,Desenvolvimento econômico,yes,yes,1,igual
4619,A/RES/60/46,2005,Armas/desarmamento/nuclear; Desenvolvimento econômico,yes,yes,1,igual
4620,A/RES/60/48,2005,Outros / sem codificação,yes,yes,1,igual
4621,A/RES/60/51,2005,Armas/desarmamento/nuclear,abstain,yes,0.5,parcial
4622,A/RES/60/53,2005,Armas/desarmamento/nuclear,abstain,yes,0.5,parcial
4623,A/RES/60/54,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4625,A/RES/60/58,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4626,A/RES/60/59,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4627,A/RES/60/60,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4628,A/RES/60/61,2005,Armas/desarmamento/nuclear; Desenvolvimento econômico,yes,yes,1,igual
4629,A/RES/60/62,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4630,A/RES/60/65,2005,Armas/desarmamento/nuclear; Descolonização,yes,abstain,0.5,parcial
4631,A/RES/60/66,2005,Outros / sem codificação,yes,yes,1,igual
4632,A/RES/60/68,2005,Armas/desarmamento/nuclear; Desenvolvimento econômico,yes,yes,1,igual
4633,A/RES/60/70,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4634,A/RES/60/72,2005,Armas/desarmamento/nuclear,yes,abstain,0.5,parcial
4635,A/RES/60/75,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4636,A/RES/60/76,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4637,A/RES/60/56,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4638,A/RES/60/80,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4639,A/RES/60/88,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4640,A/RES/60/92,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4641,A/RES/60/95,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
4642,A/RES/60/100,2005,Palestina/Oriente Médio,yes,yes,1,igual
4643,A/RES/60/101,2005,Outros / sem codificação,yes,yes,1,igual
4644,A/RES/60/103,2005,Palestina/Oriente Médio,yes,yes,1,igual
4645,A/RES/60/104,2005,Descolonização; Direitos humanos; Palestina/Oriente Médio,yes,yes,1,igual
4646,A/RES/60/105,2005,Descolonização; Palestina/Oriente Médio,yes,yes,1,igual
4647,A/RES/60/106,2005,Palestina/Oriente Médio,yes,yes,1,igual
4648,A/RES/60/107,2005,Direitos humanos; Palestina/Oriente Médio,yes,yes,1,igual
4649,A/RES/60/108,2005,Outros / sem codificação,yes,yes,1,igual
4650,A/RES/60/110,2005,Descolonização,yes,yes,1,igual
4651,A/RES/60/111,2005,Descolonização; Desenvolvimento econômico,yes,yes,1,igual
4652,A/RES/60/112,2005,Descolonização,yes,yes,1,igual
4653,A/RES/60/118,2005,Descolonização,yes,yes,1,igual
4654,A/RES/60/119,2005,Descolonização,yes,yes,1,igual
4655,A/RES/60/120,2005,Descolonização,yes,yes,1,igual
4656,A/RES/60/79,2005,Armas/desarmamento/nuclear,yes,abstain,0.5,parcial
4657,A/RES/60/102,2005,Palestina/Oriente Médio,yes,yes,1,igual
4658,A/RES/60/41,2005,Palestina/Oriente Médio,yes,yes,1,igual
4659,A/RES/60/39,2005,Palestina/Oriente Médio,yes,yes,1,igual
4660,A/RES/60/38,2005,Palestina/Oriente Médio,yes,yes,1,igual
4661,A/RES/60/37,2005,Direitos humanos; Palestina/Oriente Médio,yes,yes,1,igual
4662,A/RES/60/36,2005,Direitos humanos; Palestina/Oriente Médio,yes,yes,1,igual
4663,A/RES/60/30,2005,Outros / sem codificação,yes,yes,1,igual
4664,A/RES/60/12,2005,Desenvolvimento econômico,yes,yes,1,igual
4665,A/RES/60/6,2005,Outros / sem codificação,yes,yes,1,igual
5757,A/RES/60/56,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
5758,A/RES/60/58,2005,Armas/desarmamento/nuclear,yes,yes,1,igual
5759,A/RES/60/58,2005,Outros / sem codificação,yes,yes,1,igual
