sample_id,sample_label,anchor_id,anchor_label,anchor_type,year,period,n_resolutions,mean_brazil_china_agreement,mean_brazil_anchor_agreement,mean_relative_agreement_china_minus_anchor,mean_brazil_china_similarity,mean_brazil_anchor_similarity,mean_relative_similarity_china_minus_anchor,mean_anchor_valid_members
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,2005,Pre-2009,91,0.8351648351648352,0.8901098901098901,-0.054945054945054944,0.8956043956043956,0.9395604395604396,-0.043956043956043946,2.989010989010989
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,2006,Pre-2009,105,0.8095238095238095,0.8095238095238095,0,0.8809523809523809,0.8952380952380953,-0.014285714285714313,2.980952380952381
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,2007,Pre-2009,88,0.8522727272727273,0.8522727272727273,0,0.9147727272727273,0.9204545454545454,-0.005681818181818206,2.9886363636363638
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,2008,Pre-2009,92,0.75,0.7717391304347826,-0.021739130434782608,0.8532608695652174,0.8695652173913043,-0.016304347826086973,2.9782608695652173
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,2009,Post-2009,81,0.8765432098765432,0.8765432098765432,0,0.9382716049382716,0.9382716049382716,0,2.9876543209876543
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,2010,Post-2009,83,0.8674698795180723,0.9156626506024096,-0.04819277108433735,0.9036144578313252,0.95783132530120485,-0.05421686746987961,2.9879518072289155
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,2011,Post-2009,90,0.8888888888888888,0.9111111111111111,-0.022222222222222223,0.9388888888888889,0.9555555555555556,-0.01666666666666669,2.977777777777778
all_votes,All valid Brazil-China votes,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,2012,Post-2009,86,0.7906976744186046,0.8953488372093024,-0.10465116279069768,0.872093023255814,0.9418604651162791,-0.06976744186046512,2.988372093023256
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2005,Pre-2009,67,0.835820895522388,0.8656716417910447,-0.029850746268656716,0.8955223880597015,0.9253731343283582,-0.02985074626865668,2
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2006,Pre-2009,84,0.8214285714285714,0.7976190476190477,0.023809523809523808,0.8928571428571429,0.8869047619047619,0.005952380952380969,2
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2007,Pre-2009,70,0.8714285714285714,0.8428571428571429,0.02857142857142857,0.9285714285714285,0.9142857142857143,0.014285714285714329,2
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2008,Pre-2009,70,0.8142857142857143,0.7571428571428571,0.05714285714285714,0.9000000000000001,0.8714285714285714,0.02857142857142859,2
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2009,Post-2009,57,0.9122807017543859,0.8771929824561403,0.03508771929824561,0.956140350877193,0.9385964912280702,0.017543859649122796,2
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2010,Post-2009,48,0.9791666666666666,0.9166666666666666,0.0625,0.9895833333333334,0.9583333333333334,0.03125,2
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2011,Post-2009,90,0.8888888888888888,0.9111111111111111,-0.022222222222222223,0.9388888888888889,0.9555555555555556,-0.01666666666666669,2.977777777777778
all_votes,All valid Brazil-China votes,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2012,Post-2009,86,0.7906976744186046,0.8953488372093024,-0.10465116279069768,0.872093023255814,0.9418604651162791,-0.06976744186046512,2.988372093023256
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2005,Pre-2009,97,0.8247422680412371,0.9175257731958762,-0.09278350515463918,0.8917525773195877,0.9587628865979381,-0.0670103092783505,104.5360824742268
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2006,Pre-2009,108,0.8148148148148148,0.8981481481481481,-0.08333333333333333,0.8842592592592591,0.9444444444444444,-0.0601851851851852,114.50925925925925
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2007,Pre-2009,93,0.8387096774193549,0.9139784946236559,-0.07526881720430108,0.9032258064516129,0.9623655913978495,-0.05913978494623658,113.04301075268818
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2008,Pre-2009,96,0.7604166666666666,0.9166666666666666,-0.15625,0.859375,0.9427083333333333,-0.08333333333333336,112.9375
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2009,Post-2009,83,0.8674698795180723,0.963855421686747,-0.0963855421686747,0.9337349397590361,0.9819277108433735,-0.04819277108433735,113.44578313253012
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2010,Post-2009,85,0.8705882352941177,0.9529411764705882,-0.08235294117647059,0.9058823529411766,0.9647058823529412,-0.05882352941176472,115.94117647058823
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2011,Post-2009,96,0.8645833333333334,0.9270833333333334,-0.0625,0.9270833333333333,0.9791666666666666,-0.05208333333333334,112.35416666666667
all_votes,All valid Brazil-China votes,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,2012,Post-2009,90,0.7888888888888889,0.9666666666666667,-0.17777777777777778,0.8722222222222222,0.9777777777777777,-0.10555555555555554,116.9888888888889
all_votes,All valid Brazil-China votes,india,India,individual,2005,Pre-2009,97,0.8247422680412371,0.7216494845360825,0.10309278350515463,0.8917525773195877,0.8195876288659794,0.07216494845360821,1
all_votes,All valid Brazil-China votes,india,India,individual,2006,Pre-2009,107,0.8130841121495327,0.7289719626168224,0.08411214953271028,0.8831775700934579,0.8271028037383178,0.05607476635514021,1
all_votes,All valid Brazil-China votes,india,India,individual,2007,Pre-2009,93,0.8387096774193549,0.7634408602150538,0.07526881720430108,0.9032258064516129,0.8387096774193548,0.0645161290322581,1
all_votes,All valid Brazil-China votes,india,India,individual,2008,Pre-2009,95,0.7578947368421053,0.7157894736842105,0.042105263157894736,0.8578947368421052,0.8157894736842105,0.04210526315789471,1
all_votes,All valid Brazil-China votes,india,India,individual,2009,Post-2009,83,0.8674698795180723,0.7831325301204819,0.08433734939759036,0.9337349397590361,0.8554216867469879,0.07831325301204818,1
all_votes,All valid Brazil-China votes,india,India,individual,2010,Post-2009,85,0.8705882352941177,0.7411764705882353,0.12941176470588237,0.9058823529411766,0.811764705882353,0.09411764705882351,1
all_votes,All valid Brazil-China votes,india,India,individual,2011,Post-2009,96,0.8645833333333334,0.75,0.11458333333333333,0.9270833333333333,0.8385416666666667,0.08854166666666675,1
all_votes,All valid Brazil-China votes,india,India,individual,2012,Post-2009,90,0.7888888888888889,0.7666666666666667,0.022222222222222223,0.8722222222222222,0.8388888888888888,0.033333333333333326,1
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2005,Pre-2009,97,0.8247422680412371,0.8865979381443299,-0.061855670103092786,0.8917525773195877,0.9381443298969072,-0.04639175257731956,17.8659793814433
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2006,Pre-2009,106,0.8207547169811321,0.9245283018867925,-0.10377358490566038,0.8867924528301887,0.964622641509434,-0.07783018867924534,18.70754716981132
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2007,Pre-2009,93,0.8387096774193549,0.9139784946236559,-0.07526881720430108,0.9032258064516129,0.956989247311828,-0.05376344086021507,18.35483870967742
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2008,Pre-2009,95,0.7578947368421053,0.8947368421052632,-0.1368421052631579,0.8578947368421052,0.968421052631579,-0.11052631578947364,18.45263157894737
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2009,Post-2009,83,0.8674698795180723,0.9156626506024096,-0.04819277108433735,0.9337349397590361,0.963855421686747,-0.030120481927710857,18.397590361445783
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2010,Post-2009,84,0.8809523809523809,0.9523809523809523,-0.07142857142857142,0.9107142857142858,0.9851190476190477,-0.07440476190476195,18.547619047619047
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2011,Post-2009,95,0.8631578947368421,0.9157894736842105,-0.05263157894736842,0.9263157894736842,0.9631578947368421,-0.03684210526315789,18.473684210526315
all_votes,All valid Brazil-China votes,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2012,Post-2009,90,0.7888888888888889,0.9444444444444444,-0.15555555555555556,0.8722222222222222,0.975,-0.10277777777777776,18.633333333333333
all_votes,All valid Brazil-China votes,russia,Russia,individual,2005,Pre-2009,95,0.8315789473684211,0.7368421052631579,0.09473684210526316,0.894736842105263,0.8421052631578947,0.05263157894736842,1
all_votes,All valid Brazil-China votes,russia,Russia,individual,2006,Pre-2009,108,0.8148148148148148,0.7037037037037037,0.1111111111111111,0.8842592592592591,0.8240740740740742,0.0601851851851852,1
all_votes,All valid Brazil-China votes,russia,Russia,individual,2007,Pre-2009,92,0.8478260869565217,0.7065217391304348,0.14130434782608695,0.907608695652174,0.8315217391304348,0.07608695652173905,1
all_votes,All valid Brazil-China votes,russia,Russia,individual,2008,Pre-2009,96,0.7604166666666666,0.625,0.13541666666666666,0.859375,0.796875,0.0625,1
all_votes,All valid Brazil-China votes,russia,Russia,individual,2009,Post-2009,82,0.8658536585365854,0.7195121951219512,0.14634146341463414,0.9329268292682927,0.8475609756097561,0.08536585365853655,1
all_votes,All valid Brazil-China votes,russia,Russia,individual,2010,Post-2009,84,0.8690476190476191,0.7023809523809523,0.16666666666666666,0.9047619047619049,0.8333333333333334,0.07142857142857134,1
all_votes,All valid Brazil-China votes,russia,Russia,individual,2011,Post-2009,96,0.8645833333333334,0.78125,0.08333333333333333,0.9270833333333333,0.875,0.05208333333333329,1
all_votes,All valid Brazil-China votes,russia,Russia,individual,2012,Post-2009,90,0.7888888888888889,0.6666666666666666,0.12222222222222222,0.8722222222222222,0.788888888888889,0.08333333333333329,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,2005,Pre-2009,96,0.8229166666666666,0.9270833333333334,-0.10416666666666667,0.890625,0.9635416666666667,-0.07291666666666667,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,2006,Pre-2009,107,0.8130841121495327,0.8785046728971962,-0.06542056074766354,0.8831775700934579,0.9392523364485982,-0.05607476635514022,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,2007,Pre-2009,93,0.8387096774193549,0.8817204301075269,-0.043010752688172046,0.9032258064516129,0.9408602150537635,-0.037634408602150546,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,2008,Pre-2009,95,0.7684210526315789,0.8631578947368421,-0.09473684210526316,0.8631578947368421,0.9210526315789473,-0.05789473684210528,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,2009,Post-2009,83,0.8674698795180723,0.927710843373494,-0.060240963855421686,0.9337349397590361,0.963855421686747,-0.03012048192771085,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,2010,Post-2009,85,0.8705882352941177,0.9647058823529412,-0.09411764705882353,0.9058823529411766,0.9823529411764705,-0.07647058823529407,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,2011,Post-2009,92,0.8586956521739131,0.8913043478260869,-0.03260869565217391,0.9239130434782609,0.9293478260869565,-0.005434782608695662,1
all_votes,All valid Brazil-China votes,south_africa,South Africa,individual,2012,Post-2009,89,0.7865168539325843,0.9438202247191011,-0.15730337078651685,0.8707865168539326,0.9719101123595506,-0.10112359550561796,1
all_votes,All valid Brazil-China votes,united_states,United States,individual,2005,Pre-2009,96,0.8229166666666666,0.16666666666666666,0.65625,0.890625,0.25520833333333337,0.6354166666666666,1
