anchor_id,anchor_label,anchor_type,member_iso3c,member_name,start_year,end_year,construction_note
brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,IND,India,2005,2012,"Fixed Russia-India-South Africa peer set, excluding Brazil and China."
brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,RUS,Russia,2005,2012,"Fixed Russia-India-South Africa peer set, excluding Brazil and China."
brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,ZAF,South Africa,2005,2012,"Fixed Russia-India-South Africa peer set, excluding Brazil and China."
brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,IND,India,2005,2012,Historical peer set: Russia and India in 2005-2010; South Africa added from 2011.
brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,RUS,Russia,2005,2012,Historical peer set: Russia and India in 2005-2010; South Africa added from 2011.
brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,ZAF,South Africa,2011,2012,Historical peer set: Russia and India in 2005-2010; South Africa added from 2011.
china,China,individual,CHN,China,2005,2012,Primary China benchmark.
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,AFG,Afghanistan,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,AGO,Angola,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,ARE,United Arab Emirates,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,ARG,Argentina,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,ATG,Antigua & Barbuda,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BDI,Burundi,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BEN,Benin,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BFA,Burkina Faso,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BGD,Bangladesh,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BHR,Bahrain,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BHS,Bahamas,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BIH,Bosnia & Herzegovina,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BLZ,Belize,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BOL,Bolivia,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BRB,Barbados,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BRN,Brunei,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BTN,Bhutan,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,BWA,Botswana,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,CAF,Central African Republic,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,CHL,Chile,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,CIV,Côte d’Ivoire,2005,2012,"Fixed official Group of 77 member list, excluding Brazil and China; not year-varying."
