rcid,doc_symbol,unres,session,date,year,period,post_2009,importantvote,amend,para,short,descr,issue,issue_family,issue_domain,any_human_rights,n_issue_codes,vote_brazil,vote_china,vote_usa,brazil_score,china_score,usa_score,china_usa_divergent,china_usa_strong_divergent,agreement_brazil_china,ordinal_similarity_brazil_china,anchor_id,anchor_label,anchor_type,anchor_members_total_n,anchor_members_valid_n,min_valid_members_required,anchor_members_valid_iso3c,anchor_position_valid,anchor_modal_tied,anchor_modal_top_count,anchor_modal_top_share,anchor_modal_vote,anchor_modal_score,anchor_median_score,anchor_mean_score,agreement_brazil_anchor,ordinal_similarity_brazil_anchor,relative_agreement_china_minus_anchor,relative_similarity_china_minus_anchor,document_url,vote_record_url,source
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,Pre-2009,0,0,,,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,Palestinian conflict,Palestine/Middle East,Non-human rights,FALSE,1,yes,yes,no,1,1,-1,TRUE,TRUE,1,1,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,3,3,2,IND;RUS;ZAF,TRUE,FALSE,3,1,yes,1,1,1,1,1,0,0,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,Pre-2009,0,0,,,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,Palestinian conflict,Palestine/Middle East,Non-human rights,FALSE,1,yes,yes,no,1,1,-1,TRUE,TRUE,1,1,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2,2,2,IND;RUS,TRUE,FALSE,2,1,yes,1,1,1,1,1,0,0,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,Pre-2009,0,0,,,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,Palestinian conflict,Palestine/Middle East,Non-human rights,FALSE,1,yes,yes,no,1,1,-1,TRUE,TRUE,1,1,g77_fixed,"G77 modal vote excluding Brazil and China, fixed official member list",bloc_modal,130,78,20,AFG;ARE;ARG;ATG;BFA;BGD;BHR;BHS;BLZ;BRB;BRN;BWA;CHL;COG;COL;CPV;CRI;CUB;DJI;DOM;DZA;ECU;EGY;GAB;GHA;GIN;GTM;GUY;IDN;IND;JOR;KHM;KWT;LBN;LBY;LKA;LSO;MAR;MDG;MDV;MLI;MRT;MWI;MYS;NAM;NER;NGA;NIC;NPL;OMN;PAK;PAN;PER;PRY;QAT;RWA;SAU;SDN;SEN;SGP;SLE;SOM;SYR;THA;TJK;TLS;TON;TTO;TUN;TZA;UGA;URY;VEN;VNM;YEM;ZAF;ZMB;ZWE,TRUE,FALSE,77,0.9871794871794872,yes,1,1,0.9871794871794872,1,1,0,0,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,Pre-2009,0,0,,,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,Palestinian conflict,Palestine/Middle East,Non-human rights,FALSE,1,yes,yes,no,1,1,-1,TRUE,TRUE,1,1,india,India,individual,1,1,1,IND,TRUE,FALSE,1,1,yes,1,1,1,1,1,0,0,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,Pre-2009,0,0,,,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,Palestinian conflict,Palestine/Middle East,Non-human rights,FALSE,1,yes,yes,no,1,1,-1,TRUE,TRUE,1,1,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,19,15,5,ARG;BLZ;CHL;COL;CRI;ECU;GTM;GUY;MEX;NIC;PAN;PER;PRY;URY;VEN,TRUE,FALSE,15,1,yes,1,1,1,1,1,0,0,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,Pre-2009,0,0,,,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,Palestinian conflict,Palestine/Middle East,Non-human rights,FALSE,1,yes,yes,no,1,1,-1,TRUE,TRUE,1,1,russia,Russia,individual,1,1,1,RUS,TRUE,FALSE,1,1,yes,1,1,1,1,1,0,0,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,Pre-2009,0,0,,,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,Palestinian conflict,Palestine/Middle East,Non-human rights,FALSE,1,yes,yes,no,1,1,-1,TRUE,TRUE,1,1,south_africa,South Africa,individual,1,1,1,ZAF,TRUE,FALSE,1,1,yes,1,1,1,1,1,0,0,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4521,A/RES/59/307,R/59/307,59,2005-12-08,2005,Pre-2009,0,0,,,Financing of the United Nations Interim Force in Lebanon : r,Financing of the United Nations Interim Force in Lebanon : resolution / adopted by the General Assembly,Palestinian conflict,Palestine/Middle East,Non-human rights,FALSE,1,yes,yes,no,1,1,-1,TRUE,TRUE,1,1,united_states,United States,individual,1,1,1,USA,TRUE,FALSE,1,1,no,-1,-1,-1,0,0,1,1,https://docs.un.org/en/A/RES/59/307,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F307,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4522,A/RES/59/280,R/59/280,59,2005-03-08,2005,Pre-2009,0,0,,,United Nations declaration on human cloning : resolution / a,United Nations declaration on human cloning : resolution / adopted by the General Assembly,Uncoded,Other / uncoded,Non-human rights,,0,no,no,yes,-1,-1,1,TRUE,TRUE,1,1,brics_peers_fixed,"BRICS peers excluding Brazil and China, fixed",bloc_modal,3,2,2,IND;ZAF,FALSE,TRUE,1,0.5,,,-0.5,-0.5,,0.75,,0.25,https://docs.un.org/en/A/RES/59/280,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F280,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
4522,A/RES/59/280,R/59/280,59,2005-03-08,2005,Pre-2009,0,0,,,United Nations declaration on human cloning : resolution / a,United Nations declaration on human cloning : resolution / adopted by the General Assembly,Uncoded,Other / uncoded,Non-human rights,,0,no,no,yes,-1,-1,1,TRUE,TRUE,1,1,brics_peers_historical,"BRICS peers excluding Brazil and China, historical",bloc_modal,2,1,2,IND,FALSE,FALSE,1,1,,,-1,-1,,1,,0,https://docs.un.org/en/A/RES/59/280,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F280,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-25; raw preserved at data/raw/unvotes/unvotes_0.3.0.tar.gz"
