canonical_family,partner,event_date,year,period_2009,window_2005_2012,topic,symbol_at_first_observed_pair_authorship,catalogue_id,revision_type,authors_at_event,china_without_india_or_south_africa,india_or_south_africa_without_china,coding_source,coverage_note
G/AG/NG/W/38,ARG,2000-09-27,2000,pre,0,agricultura,G/AG/NG/W/38,38325,original_or_unspecified,ARG;BRA,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
S/CSS/W/13,ARG,2000-11-24,2000,pre,0,servicos,S/CSS/W/13,1814,original_or_unspecified,ARG;BRA;IDN;IND;MEX,0,0,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
S/CSS/W/13,IDN,2000-11-24,2000,pre,0,servicos,S/CSS/W/13,1814,original_or_unspecified,ARG;BRA;IDN;IND;MEX,0,0,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
S/CSS/W/13,IND,2000-11-24,2000,pre,0,servicos,S/CSS/W/13,1814,original_or_unspecified,ARG;BRA;IDN;IND;MEX,0,1,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
S/CSS/W/13,MEX,2000-11-24,2000,pre,0,servicos,S/CSS/W/13,1814,original_or_unspecified,ARG;BRA;IDN;IND;MEX,0,0,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
G/AG/NG/W/104,ARG,2001-01-23,2001,pre,0,agricultura,G/AG/NG/W/104,755,original_or_unspecified,ARG;BRA,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
G/AG/NG/W/139,ARG,2001-03-20,2001,pre,0,agricultura,G/AG/NG/W/139 ; G/AG/W/50,2597,original_or_unspecified,ARG;BRA;IND,0,0,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
G/AG/NG/W/139,IND,2001-03-20,2001,pre,0,agricultura,G/AG/NG/W/139 ; G/AG/W/50,2597,original_or_unspecified,ARG;BRA;IND,0,1,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
IP/C/W/296,IDN,2001-06-29,2001,pre,0,trips_biodiversidade,IP/C/W/296,20804,original_or_unspecified,BRA;IDN;IND,0,0,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
IP/C/W/296,IND,2001-06-29,2001,pre,0,trips_biodiversidade,IP/C/W/296,20804,original_or_unspecified,BRA;IDN;IND,0,1,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
IP/C/W/312,IDN,2001-10-04,2001,pre,0,trips_biodiversidade,IP/C/W/312 ; WT/GC/W/450,82740,original_or_unspecified,BRA;IDN;IND,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
IP/C/W/312,IND,2001-10-04,2001,pre,0,trips_biodiversidade,IP/C/W/312 ; WT/GC/W/450,82740,original_or_unspecified,BRA;IDN;IND,0,1,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
S/CSS/W/130,IDN,2001-11-30,2001,pre,0,servicos,S/CSS/W/130,47657,original_or_unspecified,BRA;IDN,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/RL/W/6,MEX,2002-04-26,2002,pre,0,negotiating_group_on_rules,TN/RL/W/6,57086,original_or_unspecified,BRA;HKG;MEX;TUR,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
TN/RL/W/6,TUR,2002-04-26,2002,pre,0,negotiating_group_on_rules,TN/RL/W/6,57086,original_or_unspecified,BRA;HKG;MEX;TUR,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(02)/77,ARG,2002-07-05,2002,pre,0,council_for_trade_in_services,JOB(02)/77,59762,original_or_unspecified,ARG;BRA;IDN;IND;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(02)/77,IDN,2002-07-05,2002,pre,0,council_for_trade_in_services,JOB(02)/77,59762,original_or_unspecified,ARG;BRA;IDN;IND;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(02)/77,IND,2002-07-05,2002,pre,0,council_for_trade_in_services,JOB(02)/77,59762,original_or_unspecified,ARG;BRA;IDN;IND;MEX,0,1,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
JOB(02)/77,MEX,2002-07-05,2002,pre,0,council_for_trade_in_services,JOB(02)/77,59762,original_or_unspecified,ARG;BRA;IDN;IND;MEX,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
G/C/W/428,IND,2002-10-09,2002,pre,0,comercio_de_bens,G/C/W/428 ; G/TRIMS/W/25,107275,original_or_unspecified,BRA;IND,0,1,manual_pdf_first_page_or_full_text,pair-conditioned title-search pilot; not a census
IP/C/W/385,ARG,2002-10-30,2002,pre,0,trips_biodiversidade,IP/C/W/385,29081,original_or_unspecified,ARG;BRA;IND,0,0,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
IP/C/W/385,IND,2002-10-30,2002,pre,0,trips_biodiversidade,IP/C/W/385,29081,original_or_unspecified,ARG;BRA;IND,0,1,title_rule_unvalidated,pair-conditioned title-search pilot; not a census
