catalogue_id,symbol,family_root,revision_type,title,date,year,period_2009,window_2005_2012,body_label,topic,access,pages,languages_available,english_url,query_partners,authorship_segment_heuristic,author_countries_heuristic,formal_partners_heuristic,predicted_formal_coauthorship,heuristic_reason,raw_files,canonical_family,coding_source,coded_category,coded_authors,coded_partner_authors,authors_inferred_from_truncated_query,china_hong_kong_ambiguity,is_joint_document,in_strict_universe,in_broad_coordination_universe
128557,G/SPS/N/BRA/1003,G/SPS/N/BRA/1003,original_or_unspecified,Committee on Sanitary and Phytosanitary Measures - Notification - Brazil - Chickens and turkeys,2014-11-12,2014,post,0,Committee on Sanitary and Phytosanitary Measures,medidas_sps,Unrestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/G/SPS/NBRA1003.pdf&Open=True,TUR,,,,0,no_formal_marker_in_title,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_turkey_2000_2014.json,G/SPS/N/BRA/1003,title_rule_unvalidated,UNRESOLVED_TITLE_ROLE,,,,,0,0,0
128049,G/AG/GEN/120 ; G/L/1075 ; G/LIC/D/49 ; G/PSI/D/5 ; G/SPS/GEN/1371 ; G/TBT/D/47 ; WT/DS484/1,G/AG/GEN/120 ; G/L/1075 ; G/LIC/D/49 ; G/PSI/D/5 ; G/SPS/GEN/1371 ; G/TBT/D/47 ; WT/DS484/1,original_or_unspecified,Indonesia - Measures Concerning the Importation of Chicken Meat and Chicken Products - Request for consultations by Brazil,2014-10-23,2014,post,0,Indonesia,agricultura,Unrestricted,3,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/DS/484-1.pdf&Open=True,IDN,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json,G/AG/GEN/120,manual_pdf_first_page_or_full_text,BILATERAL_DISPUTE_NOT_COAUTHOR,BRA,,,,0,0,0
134198,JOB/ACC/40/Add.2,JOB/ACC/40,addendum,"Working Party on the Accession of Kazakhstan - Accession of Kazakhstan - Proposal on ordinary customs duties - Communication from Australia, Brazil, Guatemala, Japan, Mexico and Switzerland - Addendum",2014-09-17,2014,post,0,Working Party on the Accession of Kazakhstan,working_party_on_the_accession_of_kazakhstan,Derestricted,3,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/Jobs/ACC/40A2.pdf&Open=True,MEX,"Australia, Brazil, Guatemala, Japan, Mexico and Switzerland",BRA;MEX,MEX,1,formal_marker:communication from,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014_retry1.json,JOB/ACC/40,title_rule_unvalidated,NEGOTIATION_SUBMISSION,BRA;MEX,MEX,,,1,1,1
125627,WT/DS481/3,WT/DS481/3,original_or_unspecified,Indonesia - Recourse to article 22.2 of the DSU in the US - Clove Cigarettes Dispute - Request to join consultations - Communication from Brazil,2014-07-03,2014,post,0,Indonesia,solucao_de_controversias,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/DS/481-3.pdf&Open=True,IDN,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_indonesia_2000_2014.json,WT/DS481/3,manual_pdf_first_page_or_full_text,BILATERAL_DISPUTE_NOT_COAUTHOR,BRA,,,,0,0,0
121883,WT/DS472/3,WT/DS472/3,original_or_unspecified,Brazil - Certain Measures Concerning Taxation and Charges - Request to join consultations - Communication from Argentina,2014-01-20,2014,post,0,Brazil,solucao_de_controversias,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/DS/472-3.pdf&Open=True,ARG,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_argentina_2000_2014.json,WT/DS472/3,manual_pdf_first_page_or_full_text,BILATERAL_DISPUTE_NOT_COAUTHOR,ARG,ARG,,,0,0,0
113585,WT/GC/150,WT/GC/150,original_or_unspecified,"General Council - 11 December 2012 - Ukraine article XXVIII notification - Communication from Asean, Australia, Brazil, Canada, Chile, Colombia, Croatia, Egypt, European Union, Guatemala, Hong Kong China, Iceland, Japan, Korea, Liechtenstein, Mexico, New Zealand, Norwa[...], Turkey and the United States",2012-11-30,2012,post,1,General Council,conselho_geral,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/WT/GC/150.pdf&Open=True,CHN;MEX;TUR,"Asean, Australia, Brazil, Canada, Chile, Colombia, Croatia, Egypt, European Union, Guatemala, Hong Kong China, Iceland, Japan, Korea, Liechtenstein, Mexico, New Zealand, Norwa[...], Turkey and the United States",BRA;CHN;MEX;TUR,CHN;MEX;TUR,1,formal_marker:communication from,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_china_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_turkey_2000_2014.json,WT/GC/150,manual_pdf_first_page_or_full_text,FORMAL_JOINT_STATEMENT,BRA;HKG;MEX;TUR,MEX;TUR,,,1,0,1
96936,G/C/W/678,G/C/W/678,original_or_unspecified,"Council for Trade in Goods - Ukraine's Article XXVIII notification : joint statement by Australia, Brazil, Canada, Chile, Colombia, Croatia, the European Union, Guatemala, Hong Kong, China, Iceland, Japan, Korea, Liechtenstein, Malaysia, Mexico, New Zealand, Norway, Om[...]d, Turkey and the United States",2012-11-27,2012,post,1,Council for Trade in Goods,comercio_de_bens,Unrestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/C/W678.pdf&Open=True,CHN;MEX;TUR,"by Australia, Brazil, Canada, Chile, Colombia, Croatia, the European Union, Guatemala, Hong Kong, China, Iceland, Japan, Korea, Liechtenstein, Malaysia, Mexico, New Zealand, Norway, Om[...]d, Turkey and the United States",BRA;CHN;MEX;TUR,CHN;MEX;TUR,1,formal_marker:joint statement,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_china_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_mexico_2000_2014_retry1.json;data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_turkey_2000_2014.json,G/C/W/678,manual_pdf_first_page_or_full_text,FORMAL_JOINT_STATEMENT,BRA;HKG;MEX;TUR,MEX;TUR,,,1,0,1
96991,WT/DS451/6,WT/DS451/6,original_or_unspecified,China - Measures Relating to the Production and Exportation of Apparel and Textile Products - Request to join consultations - Communication from Brazil,2012-11-01,2012,post,1,China,solucao_de_controversias,Unrestricted,1,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/DS/451-6.pdf&Open=True,CHN,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_china_2000_2014.json,WT/DS451/6,manual_pdf_first_page_or_full_text,BILATERAL_DISPUTE_NOT_COAUTHOR,BRA,,,,0,0,0
42271,G/ADP/D92/1 ; G/L/990 ; WT/DS439/1,G/ADP/D92/1 ; G/L/990 ; WT/DS439/1,original_or_unspecified,South Africa - Anti-Dumping Duties on Frozen Meat of Fowls from Brazil - Request for consultations by Brazil,2012-06-25,2012,post,1,South Africa,defesa_comercial,Unrestricted,4,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/ADP/D92-1.pdf&Open=True,ZAF,,,,0,excluded_relational_or_response_document,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_south_africa_2000_2014.json,G/ADP/D92/1,manual_pdf_first_page_or_full_text,BILATERAL_DISPUTE_NOT_COAUTHOR,BRA,,,,0,0,0
98563,G/SPS/GEN/1143/Rev.2,G/SPS/GEN/1143,revision,"Committee on Sanitary and Phytosanitary Measures - SPS measures and international standards, guidelines and recommendations - Communication from Argentina, Australia, Brazil, Canada, Chile, Costa Rica, New Zealand, Peru, Philippines and the United States - Revision",2012-03-29,2012,post,1,Committee on Sanitary and Phytosanitary Measures,medidas_sps,Unrestricted,2,English;French;Spanish,https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/G/SPS/GEN1143R2.pdf&Open=True,ARG,"Argentina, Australia, Brazil, Canada, Chile, Costa Rica, New Zealand, Peru, Philippines and the United States",BRA;ARG,ARG,1,formal_marker:communication from,data/raw/wto_coauthorship/2026-08-28/search_title_brazil_and_argentina_2000_2014.json,G/SPS/GEN/1143,title_rule_unvalidated,NEGOTIATION_SUBMISSION,ARG;BRA,ARG,,,1,1,1
