path,bytes,sha256,role
TARGETS_MIGRATION.md,6497,6a1610b7f1b884611d8b25907136c5da58e15633ec971b0fe14b7e90a0b848e4,migration_contract
paper_v4.Rmd,151151,157c46cd2479d2b5096d13100327a7c7510650d4add6230f27674879b16bd9b1,manuscript
_targets.R,41186,bbdec9b6a20a2524e39472aac1c5f9a0d85f5fd7469a178c3ccd22c6013ef7c1,pipeline
scripts/functions.R,247330,95e92d8448551891edbd9e0d24cb37116e0626114a106c227ef940267cfc3c07,pipeline_functions
scripts/diagnostics/sdid_placebo_helpers.R,18084,6d7cd66cde191c2748e9310359506ce1398cb8897a606803647cb0a46e2261f7,sdid_helpers
scripts/diagnostics/audit_brazil_sdid_no_covariates.R,19254,8d0f7d46ae27b8a37b69c65f5d1461637116f928a9aaf5e1b22a9619589b1402,legacy_sdid_producer
scripts/diagnostics/prepare_paper_v4_brazil_sdid_predetermined_core_outputs.R,5038,0b8af87c9d2ef83e1707e832bb105c0c43869fbe68c9a73280448e639308ffb3,legacy_sdid_figure_producer
scripts/diagnostics/audit_brazil_sdid_commodity_no_covariates.R,12140,1365bbf84b17d9af83ab3afd4a8ca15ee500b8a37eb437d8df7fba0b3ec66a4b,legacy_commodity_producer
scripts/diagnostics/audit_ungadm_outcome_robustness.R,20928,6f7f0787ba2719043e46fb1097a0000e61090a682f06bc82732a509d8ef0847f,legacy_ungadm_estimation
scripts/diagnostics/audit_ungadm_postreview_diagnostics.R,19002,777ab865be9c4a55ec05aa554b7ce2afc858a36350a41f5341ac4c5b4ddec497,legacy_ungadm_postreview
scripts/diagnostics/prepare_manuscript_correction_full_join_report.R,24061,7110a1d8f8fa3f2f78c14bd945080c79953c47d31f78b2e69f46f543931815f7,full_join_reference
scripts/diagnostics/preview_cross_country_dynamic_with_pooled_att.R,6679,64c101bdf2e6edc35e51066d3028f5e932ed628a557626e2fbf6338fe3edc8c2,legacy_cross_country_figure
scripts/diagnostics/collect_status_cue_salience_sources.py,64607,ee2676d54a77a3065ccce0e3718106b9398724d55df61ea290f230d92f86cb4c,status_http_and_coding
scripts/diagnostics/collect_ex_top1_salience_sources.py,59490,404138cafcae4ffadb38091daab5d3895a7a91dc6e9f7bd7941b2e9770a58fae,ex_top1_http_and_coding
scripts/diagnostics/analyze_ex_top1_salience.R,17227,e012515c64f2e264488889faf7f0a00548a44db42ba12056b14adb56e120d3bc,legacy_status_derivation
scripts/rebuild_targets.R,7802,5454b2437d3ddfa12d9c7e209ac2d2575f0380882d3a58e3f1ee5ed3f2a7992c,legacy_orchestration
scripts/render_paper_v4.sh,1253,3034beaf566bd21f5349da79a616d5496778fef3f98f23b9b3a18528acc4d01c,render
