model,sample,outcome,expected_direction,estimate,se,p_value,ci_95_low,ci_95_high,n_obs,n_countries,n_resolutions,inference_status,error,direction_matches_expected
Country + resolution FE,Human-rights China-US divergent votes,distance_to_china_vote,negative,-0.17508773546649226,0.010196819181300736,9.79072063910468e-31,-0.1953337589834399,-0.1548417119495446,16688,95,183,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights China-US divergent votes,distance_to_usa_vote,positive,0.1854430574035077,0.010681121480618913,4.430626135994003e-31,0.1642354403183139,0.20665067448870147,16688,95,183,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights China-US divergent votes,distance_china_minus_usa,negative,-0.36053079286999684,0.02079680552237532,4.932082636110855e-31,-0.4018233377506139,-0.3192382479893798,16688,95,183,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights China-US divergent votes,closer_to_china_than_usa,positive,0.11700187579058577,0.0067559301473627655,5.30262813553302e-31,0.10358781811138369,0.13041593346978783,16688,95,183,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights China-US divergent votes,closer_to_china_score,positive,0.36053079286999684,0.02079680552237532,4.932082636110855e-31,0.3192382479893798,0.4018233377506139,16688,95,183,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights China-US divergent votes,agreement_china_minus_usa,positive,0.1682402909232281,0.011528672037908845,6.850013440740186e-26,0.14534984233836806,0.19113073950808812,16688,95,183,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights strong yes/no China-US divergent votes,distance_to_china_vote,negative,-0.20904097658618745,0.011340584947362892,5.643810416498423e-33,-0.231557973843656,-0.1865239793287189,15338,95,168,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights strong yes/no China-US divergent votes,distance_to_usa_vote,positive,0.2090409765861874,0.011340584947362892,5.643810416498584e-33,0.18652397932871884,0.23155797384365595,15338,95,168,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights strong yes/no China-US divergent votes,distance_china_minus_usa,negative,-0.4180819531723749,0.022681169894725784,5.643810416498423e-33,-0.463115947687312,-0.3730479586574378,15338,95,168,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights strong yes/no China-US divergent votes,closer_to_china_than_usa,positive,0.1337480387366914,0.006882612585333282,1.0940756959250952e-34,0.12008245010722604,0.14741362736615674,15338,95,168,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights strong yes/no China-US divergent votes,closer_to_china_score,positive,0.4180819531723749,0.022681169894725784,5.643810416498423e-33,0.3730479586574378,0.463115947687312,15338,95,168,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Human-rights strong yes/no China-US divergent votes,agreement_china_minus_usa,positive,0.20904097658618745,0.011340584947362892,5.643810416498423e-33,0.1865239793287189,0.231557973843656,15338,95,168,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights China-US divergent votes,distance_to_china_vote,negative,-0.07003542135027042,0.005656021878905066,1.856602426531192e-21,-0.08126558537854682,-0.05880525732199402,38497,95,429,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights China-US divergent votes,distance_to_usa_vote,positive,0.06211989903064239,0.006851462259892478,1.774091317561734e-14,0.04851616010256154,0.07572363795872325,38497,95,429,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights China-US divergent votes,distance_china_minus_usa,negative,-0.1321553203809125,0.012130482681155623,2.3458332305009533e-18,-0.15624067810550382,-0.10806996265632114,38497,95,429,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights China-US divergent votes,closer_to_china_than_usa,positive,0.05542198847334938,0.004959341458241091,6.01768091993642e-19,0.04557509975179078,0.06526887719490797,38497,95,429,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights China-US divergent votes,closer_to_china_score,positive,0.1321553203809125,0.012130482681155623,2.3458332305009533e-18,0.10806996265632114,0.15624067810550382,38497,95,429,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights China-US divergent votes,agreement_china_minus_usa,positive,0.11350035096982763,0.008125805672430696,1.161650508917267e-24,0.09736637332316386,0.1296343286164914,38497,95,429,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights strong yes/no China-US divergent votes,distance_to_china_vote,negative,-0.06654479652001746,0.00900043117746227,5.85249630408766e-11,-0.08441536360977583,-0.048674229430259085,27004,95,301,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights strong yes/no China-US divergent votes,distance_to_usa_vote,positive,0.06654479652001744,0.009000431177462269,5.85249630408766e-11,0.048674229430259064,0.0844153636097758,27004,95,301,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights strong yes/no China-US divergent votes,distance_china_minus_usa,negative,-0.13308959304003481,0.018000862354924544,5.852496304087871e-11,-0.16883072721955159,-0.09734845886051804,27004,95,301,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights strong yes/no China-US divergent votes,closer_to_china_than_usa,positive,0.03882370060314006,0.005792613873124356,1.5043978724416772e-9,0.027322329968369953,0.05032507123791017,27004,95,301,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights strong yes/no China-US divergent votes,closer_to_china_score,positive,0.13308959304003481,0.018000862354924544,5.852496304087871e-11,0.09734845886051804,0.16883072721955159,27004,95,301,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,Non-human-rights strong yes/no China-US divergent votes,agreement_china_minus_usa,positive,0.06654479652001741,0.009000431177462272,5.852496304087871e-11,0.04867422943025902,0.08441536360977579,27004,95,301,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All human-rights votes,distance_to_china_vote,negative,-0.1415131103792741,0.008786707537642836,8.896705939887695e-29,-0.15895932417208994,-0.12406689658645828,18043,95,198,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All human-rights votes,distance_to_usa_vote,positive,0.17105604100075758,0.009401109129051007,1.4676662990964164e-32,0.15238991844548067,0.1897221635560345,18043,95,198,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All human-rights votes,distance_china_minus_usa,negative,-0.312569151380031,0.017677006836966453,1.1830222467736595e-31,-0.3476672628368641,-0.2774710399231979,18043,95,198,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All human-rights votes,closer_to_china_than_usa,positive,0.10285617478241899,0.005754080847718769,5.372539710948712e-32,0.09143131237287772,0.11428103719196026,18043,95,198,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All human-rights votes,closer_to_china_score,positive,0.312569151380031,0.017677006836966453,1.1830222467736595e-31,0.2774710399231979,0.3476672628368641,18043,95,198,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All human-rights votes,agreement_china_minus_usa,positive,0.14479503550341843,0.009801972206875316,3.075376545624714e-26,0.12533298991014258,0.1642570810966943,18043,95,198,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All non-human-rights votes,distance_to_china_vote,negative,-0.032060171394800004,0.004551334059677738,3.0532179149773876e-10,-0.04109695186205605,-0.023023390927543956,49218,95,549,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All non-human-rights votes,distance_to_usa_vote,positive,0.0047547679636217545,0.006094983065948076,0.4372850330442889,-0.007346963791598135,0.016856499718841643,49218,95,549,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All non-human-rights votes,distance_china_minus_usa,negative,-0.03681493935842187,0.00812443088310228,1.7215686335591838e-5,-0.05294618732864645,-0.0206836913881973,49218,95,549,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All non-human-rights votes,closer_to_china_than_usa,positive,0.01986894482100096,0.0031043216314190214,6.023627588649226e-9,0.013705241450724916,0.026032648191277007,49218,95,549,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All non-human-rights votes,closer_to_china_score,positive,0.03681493935842187,0.00812443088310228,1.7215686335591838e-5,0.0206836913881973,0.05294618732864645,49218,95,549,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
Country + resolution FE,All non-human-rights votes,agreement_china_minus_usa,positive,0.05071716665639726,0.0043843139150765344,9.062013753113113e-20,0.04201200860151085,0.05942232471128366,49218,95,549,"Model-based country-clustered SE; fixed effects for country and resolution. With one treated country, country-placebo inference is primary.",,TRUE
