model,subgroup,event_time,att,se,ci_lo,ci_hi,p,period,n_treated_units_observed
Baseline C&S,all,-31,0.3841633805714289,0.03914241982550148,0.307444237713446,0.46088252342941183,9.751773263512707e-23,pre,1
Baseline C&S,all,-30,0.4054693282747255,0.03696250038062689,0.3330228275286968,0.4779158290207542,5.342085515855176e-28,pre,1
Baseline C&S,all,-29,0.0012531698461539379,0.04076161866589414,-0.07863960273899857,0.08114594243130645,0.9754738056390536,pre,1
Baseline C&S,all,-28,-0.035441318175824466,0.11309228470592464,-0.25710219619943675,0.18621955984778782,0.7539889008205284,pre,2
Baseline C&S,all,-27,-0.10701073160073275,0.19449625226984557,-0.48822338604963006,0.2742019228481645,0.5821861048510732,pre,3
Baseline C&S,all,-26,-0.17431477846153864,0.1664378082755594,-0.5005328826816351,0.15190332575855775,0.2949488759909439,pre,3
Baseline C&S,all,-25,-0.1371580435686811,0.1635637740377072,-0.4577430406825872,0.18342695354522498,0.40171624703659864,pre,4
Baseline C&S,all,-24,-0.11669961120000012,0.19959780122170398,-0.5079113015945399,0.2745120791945397,0.5587670529487696,pre,5
Baseline C&S,all,-23,-0.08056448441208774,0.15845316583709057,-0.39113268945278523,0.23000372062860974,0.611142343217489,pre,6
Baseline C&S,all,-22,0.0032225760643645428,0.1692015065421233,-0.3284123767581971,0.3348575288869262,0.9848045782861508,pre,7
Baseline C&S,all,-21,-0.1517053273673467,0.25649966897442833,-0.6544446785572262,0.35103402382253285,0.5542226082239088,pre,7
Baseline C&S,all,-20,-0.2545212732115385,0.22207940880830973,-0.6897969144758256,0.18075436805274858,0.25176111249916694,pre,8
Baseline C&S,all,-19,-0.18744945736923074,0.23385585376254092,-0.645806930743811,0.2709080160053495,0.4228076245376739,pre,10
Baseline C&S,all,-18,-0.1953387114055943,0.14680087874301287,-0.48306843374189956,0.09239101093071092,0.18330841336215686,pre,11
Baseline C&S,all,-17,-0.1428937206730769,0.12437073630533058,-0.3866603638315248,0.10087292248537102,0.2505833519633373,pre,12
Baseline C&S,all,-16,-0.0998107335888276,0.10161422683307761,-0.2989746181816597,0.0993531510040045,0.32597592841808687,pre,12
Baseline C&S,all,-15,-0.11359363287235834,0.06114418105028781,-0.23343622773092243,0.006248961986205767,0.06319748313791317,pre,13
Baseline C&S,all,-14,-0.09795180755967875,0.080875004739012,-0.25646681684814226,0.060563201728784766,0.22583770559523597,pre,13
Baseline C&S,all,-13,-0.02780312872448971,0.09572735630869955,-0.21542874708954082,0.15982248964056142,0.7714790440990198,pre,14
Baseline C&S,all,-12,-0.13415107386970182,0.07543181892282025,-0.2819974389584295,0.013695291219025851,0.07533137910940806,pre,14
Baseline C&S,all,-11,-0.06182830068210372,0.06950434113948924,-0.19805680931550262,0.07440020795129519,0.37370204577394533,pre,14
Baseline C&S,all,-10,-0.05896254992307696,0.06677525129396247,-0.1898420424592434,0.07191694261308951,0.3772362469909852,pre,14
Baseline C&S,all,-9,-0.0330896392284144,0.07011029930745304,-0.17050582587102234,0.10432654741419353,0.6369514471092508,pre,14
Baseline C&S,all,-8,-0.05703426889638934,0.07812887838299279,-0.21016687052705518,0.09609833273427652,0.4653887162810765,pre,14
Baseline C&S,all,-7,-0.0024470858241757215,0.053082431905200525,-0.10648865235836874,0.10159448071001731,0.9632307605252339,pre,14
Baseline C&S,all,-6,0.038540679005494696,0.07882693054703648,-0.11596010486669679,0.1930414628776862,0.6248928018496349,pre,14
Baseline C&S,all,-5,0.0059082173233909255,0.06012189514785455,-0.111930697166404,0.12374713181318583,0.9217173884364851,pre,14
Baseline C&S,all,-4,-0.0112857420180533,0.07530963688452488,-0.15889263031172207,0.13632114627561548,0.8808767485921503,pre,14
Baseline C&S,all,-3,0.0306915145376766,0.05805413319391015,-0.0830945865223873,0.1444776155977405,0.5970339621847365,pre,14
Baseline C&S,all,-2,0.020304048790423853,0.08928025680514778,-0.1546852545476658,0.1952933521285135,0.8200977552667594,pre,14
Baseline C&S,all,-1,0,NA,NA,NA,NA,pre,14
