model,subgroup,status,error_message,att,se,ci_lo,ci_hi,p,n_obs,n_countries,n_treated,n_control
Baseline C&S,all,ok,NA,-0.10074217259797992,0.04685718427554071,-0.19258225377803972,-0.00890209141792013,0.03155652071788625,3465,105,14,91
Event study: displaced_us_no,displaced_us,ok,NA,-0.11018368971469271,0.06465680268247555,-0.2369110229723448,0.016543643542959355,0.08835653569405665,3333,101,10,91
Event study: displaced_us_yes,displaced_us,ok,NA,-0.08150285469977203,0.07184268216286949,-0.22231451173899622,0.059308802339452155,0.25660044412136007,3135,95,4,91
Event study: displaced_g7_no,displaced_g7,ok,NA,-0.09531849754405594,0.08079309044210425,-0.2536729548105803,0.0630359597224684,0.23808563183608947,3201,97,6,91
Event study: displaced_g7_yes,displaced_g7,ok,NA,-0.10355634361652474,0.06649221248532852,-0.23388108008776864,0.02676839285471916,0.11937065070468827,3267,99,8,91
Event study: regional_power_no,regional_power,ok,NA,-0.08929708649038472,0.10330101937400443,-0.2917670844634334,0.11317291148266397,0.38734860186301384,3135,95,4,91
Event study: regional_power_yes,regional_power,ok,NA,-0.1045256721376806,0.0608514688861406,-0.22379455115451619,0.014743206879154966,0.08584803842217326,3333,101,10,91
Event study: same_region_power_no,same_region_power,ok,NA,-0.08392867486615382,0.05279251205585633,-0.18740199849563222,0.019544648763324582,0.11188357046901794,3333,101,10,91
Event study: same_region_power_yes,same_region_power,ok,NA,-0.12830528363375976,0.10542427601164603,-0.334936864616586,0.07832629734906646,0.2235899977655174,3135,95,4,91
Event study: high_level_partner_no,lpv_high_level_partner,ok,NA,-0.09761359584685048,0.05390147980065728,-0.20326049625613873,0.008033304562437782,0.07014654975408785,3366,102,11,91
Event study: high_level_partner_yes,lpv_high_level_partner,ok,NA,-0.1241241672643145,0.1271618960676773,-0.37336148355696197,0.125113149028333,0.32900929822897373,3102,94,3,91
Hub-excluded C&S,hub_exclusion,ok,NA,-0.11835416119109586,0.053570246276793236,-0.2233518438936106,-0.013356478488581125,0.027151943824409778,3399,103,12,91
Regional-power decomposition: other_g7,regional_power_decomposition,ok,NA,-0.12560983253327818,0.12629096917628635,-0.37314013211879943,0.12192046705224308,0.3199276321463163,3135,95,4,91
Regional-power decomposition: other_incumbent,regional_power_decomposition,ok,NA,-0.08929708649038472,0.10330101937400443,-0.2917670844634334,0.11317291148266397,0.38734860186301384,3135,95,4,91
Regional-power decomposition: us,regional_power_decomposition,ok,NA,-0.08150285469977203,0.07184268216286949,-0.22231451173899622,0.059308802339452155,0.25660044412136007,3135,95,4,91
Regional-power decomposition: external_regional_or_global_power,regional_power_decomposition,skipped,"Insufficient support: treated = 1, controls = 91",NA,NA,NA,NA,NA,3036,92,1,91
Regional-power decomposition: same_region_regional_power,regional_power_decomposition,skipped,"Insufficient support: treated = 1, controls = 91",NA,NA,NA,NA,NA,3036,92,1,91
