source_id,iso3c,publication_date,source_name,source_type,language,url,metric_in_source,entity_in_source,period_in_source,planned_count,publisher_family,metric_rule_reason,query_used,rank_label_original,source_country,title,rank_label_english,evidence_strength,annual_confirmation_source_id,reevaluated_from,excerpt_under_25_words,notes
jpn_jcast_2007_04_26,JPN,2007-04-26,J-CAST News,newspaper,ja,https://news.livedoor.com/article/detail/3137009/,two_way_trade_goods,mainland_china,fiscal_year,yes,J-CAST,Fiscal 2006 mainland China excluding Hong Kong was Japan first two-way goods partner.,site:j-cast.com 2007 中国 香港を除く 最大 貿易相手 国,中国（香港を除く）が米国を抜き、最大の貿易相手国になった,,中国（香港を除く）が最大の貿易相手国,,strong,,,,
jpn_japantimes_2007_05_13,JPN,2007-05-13,The Japan Times,newspaper,en,https://www.japantimes.co.jp/opinion/2007/05/13/editorials/path-to-mutual-prosperity/,two_way_trade_goods,mainland_china,fiscal_year,yes,Japan Times,Independent Japanese newspaper says China excluding Hong Kong first in FY2006.,site:japantimes.co.jp 2007 Japan China excluding Hong Kong top trading partner fiscal 2006,China top trading partner excluding Hong Kong,,China top trading partner excluding Hong Kong,,strong,,,,
jpn_mofa_2006_hk,JPN,2006-01-01,Japan Ministry of Foreign Affairs,official_statistics,ja,https://www.mofa.go.jp/mofaj/gaiko/bluebook/2006/html/h2/h2_1_15.html,two_way_trade_goods,china_including_hong_kong,annual,no,MOFA,Earlier China-first figure explicitly includes Hong Kong and is excluded.,site:mofa.go.jp 2006 中国 香港を含む 最大 貿易相手国,中国（香港を含む）,,中国（香港を含む）,,DO_NOT_COUNT,,,,
mys_miti_2010_02_22,MYS,2010-02-22,The Star (MITI archive),newspaper,en,https://www.miti.gov.my/index.php/pages/view/1318,two_way_trade_goods,mainland_china,annual,yes,The Star,"The Star local report, archived by MITI, uses completed 2009 annual two-way goods trade and China-first label.",site:miti.gov.my 22 February 2010 China largest trading partner Malaysia,China is now Malaysia’s largest trading partner,,China largest trading partner,,strong,,,,
mys_miti_2009_report,MYS,2010-06,MITI annual report,official_statistics,en,https://www.miti.gov.my/miti/resources/auto%20download%20images/55555e1816f94.pdf,two_way_trade_goods,mainland_china,annual,yes,MITI,"Official report has copyright JUNE 2010 and says mainland PRC overtook Singapore as largest full-year 2009 two-way goods partner; month known, day unreported.",site:miti.gov.my Malaysia trade 2009 China largest trading partner annual report,The PRC accounted for 12.9% of Malaysia’s total trade and surpassed Singapore in 2009 as Malaysia’s largest trading partner,,China largest trading partner,,strong,,,,
mys_bnm_2010_04_28,MYS,2010-04-28,Bank Negara Malaysia,official_speech,en,https://www.bnm.gov.my/-/governor-s-address-at-the-launch-of-industrial-and-commercial-bank-of-china-malaysia-berhad,two_way_trade_goods,mainland_china,other,yes,BNM,Contemporary governor speech explicitly names China as largest partner; no subannual period stated.,site:bnm.gov.my 2010 China now becoming Malaysia largest trading partner,China now becoming largest trading partner,,China now becoming largest trading partner,,strong,,,,
mys_miti_hk_2010_02_05,MYS,2010-02-05,MITI Bernama,official_release,en,https://www.miti.gov.my/index.php/pages/view/2015,goods_exports,china_including_hong_kong,annual,no,MITI/Bernama,China plus Hong Kong first export destination; entity sum excluded.,site:miti.gov.my 2010 China Hong Kong export destination Malaysia,China and Hong Kong first export destination,,China and Hong Kong first export destination,,DO_NOT_COUNT,,,,
per_andina_2011_05_16,PER,2011-05-16,Agencia Andina,national_news_agency,es,https://andina.pe/agencia/noticia-tlc-china-ha-incrementado-oferta-exportadora-peruana-a-ese-pais-134-nuevos-productos-358821.aspx,goods_exports,mainland_china,other,yes,Andina,Mincetur official says China is principal destination of Peruvian exports in contemporary May 2011 report.,site:andina.pe 2011 mayo China principal destino exportaciones peruanas,China es el principal destino de las exportaciones peruanas,,China es el principal destino de las exportaciones peruanas,,strong,,,,
per_andina_2012_02_07,PER,2012-02-07,Agencia Andina,national_news_agency,es,https://andina.pe/agencia/noticia-exportaciones-peruanas-logran-record-al-sumar-45726-millones-2011-398803.aspx,goods_exports,mainland_china,annual,no,Andina,"Annual 2011 export shares place China above Switzerland and the United States, but this item has no explicit China-first label; annual context only.",site:andina.pe 2012 exportaciones peruanas 2011 China primer destino,,,China primer destino de exportaciones 2011,,DO_NOT_COUNT,,,,
per_andina_2011_10_03,PER,2011-10-03,Agencia Andina,national_news_agency,es,https://andina.pe/agencia/noticia-china-desplazaria-a-eeuu-como-principal-socio-comercial-peru-a-fines-ano-380452.aspx,two_way_trade_goods,mainland_china,other,no,Andina,Trade partner first is prospective not observed; any January-July export rank lacks same-year annual confirmation in this source.,site:andina.pe 2011 China desplazaria Estados Unidos principal socio comercial,China desplazaría a Estados Unidos,,China desplazaría a Estados Unidos,,DO_NOT_COUNT,,,,
